N,itm,Date,u,v
1,1,2024-09-30 22:30:00,0.04,-0.0
2,2,2024-09-30 23:30:00,0.04,-0.01
3,3,2024-10-01 00:30:00,0.05,-0.02
4,4,2024-10-01 01:30:00,0.05,-0.02
5,5,2024-10-01 02:30:00,0.03,-0.02
6,6,2024-10-01 03:30:00,0.04,-0.02
7,7,2024-10-01 04:30:00,0.01,-0.01
8,8,2024-10-01 05:30:00,0.01,-0.0
9,9,2024-10-01 06:30:00,-0.02,0.0
10,10,2024-10-01 07:30:00,-0.01,0.01
11,11,2024-10-01 08:30:00,-0.04,0.01
12,12,2024-10-01 09:30:00,-0.04,0.0
13,13,2024-10-01 10:30:00,-0.06,-0.0
14,14,2024-10-01 11:30:00,-0.06,-0.01
15,15,2024-10-01 12:30:00,-0.07,-0.02
16,16,2024-10-01 13:30:00,-0.08,-0.02
17,17,2024-10-01 14:30:00,-0.08,-0.03
18,18,2024-10-01 15:30:00,-0.08,-0.03
19,19,2024-10-01 16:30:00,-0.09,-0.02
20,20,2024-10-01 17:30:00,-0.07,-0.02
21,21,2024-10-01 18:30:00,-0.08,-0.01
22,22,2024-10-01 19:30:00,-0.06,0.0
23,23,2024-10-01 20:30:00,-0.04,0.01
24,24,2024-10-01 21:30:00,-0.04,0.02
25,25,2024-10-01 22:30:00,-0.01,0.02
26,26,2024-10-01 23:30:00,-0.01,0.03
27,27,2024-10-02 00:30:00,0.01,0.03
28,28,2024-10-02 01:30:00,0.03,0.03
29,29,2024-10-02 02:30:00,0.01,0.03
30,30,2024-10-02 03:30:00,0.03,0.04
31,31,2024-10-02 04:30:00,0.03,0.04
32,32,2024-10-02 05:30:00,0.03,0.04
33,33,2024-10-02 06:30:00,0.04,0.03
34,34,2024-10-02 07:30:00,0.04,0.03
35,35,2024-10-02 08:30:00,0.02,0.02
36,36,2024-10-02 09:30:00,0.06,0.01
37,37,2024-10-02 10:30:00,0.02,0.01
38,38,2024-10-02 11:30:00,0.01,0.01
39,39,2024-10-02 12:30:00,0.02,0.0
40,40,2024-10-02 13:30:00,0.0,-0.01
41,41,2024-10-02 14:30:00,-0.01,-0.01
42,42,2024-10-02 15:30:00,-0.02,-0.01
43,43,2024-10-02 16:30:00,-0.03,-0.01
44,44,2024-10-02 17:30:00,-0.05,-0.01
45,45,2024-10-02 18:30:00,-0.04,-0.01
46,46,2024-10-02 19:30:00,-0.06,-0.0
47,47,2024-10-02 20:30:00,-0.03,-0.0
48,48,2024-10-02 21:30:00,-0.04,0.0
49,49,2024-10-02 22:30:00,-0.0,0.0
50,50,2024-10-02 23:30:00,0.02,0.01
51,51,2024-10-03 00:30:00,0.04,0.0
52,52,2024-10-03 01:30:00,0.05,0.0
53,53,2024-10-03 02:30:00,0.08,-0.0
54,54,2024-10-03 03:30:00,0.08,-0.01
55,55,2024-10-03 04:30:00,0.05,-0.01
56,56,2024-10-03 05:30:00,0.05,-0.02
57,57,2024-10-03 06:30:00,0.03,-0.02
58,58,2024-10-03 07:30:00,0.0,-0.02
59,59,2024-10-03 08:30:00,-0.01,-0.02
60,60,2024-10-03 09:30:00,-0.0,-0.02
61,61,2024-10-03 10:30:00,-0.03,-0.01
62,62,2024-10-03 11:30:00,-0.02,-0.01
63,63,2024-10-03 12:30:00,-0.03,-0.01
64,64,2024-10-03 13:30:00,-0.02,-0.02
65,65,2024-10-03 14:30:00,-0.04,-0.02
66,66,2024-10-03 15:30:00,-0.02,-0.02
67,67,2024-10-03 16:30:00,-0.03,-0.02
68,68,2024-10-03 17:30:00,-0.04,-0.02
69,69,2024-10-03 18:30:00,-0.04,-0.02
70,70,2024-10-03 19:30:00,-0.04,-0.02
71,71,2024-10-03 20:30:00,-0.05,-0.02
72,72,2024-10-03 21:30:00,-0.04,-0.02
73,73,2024-10-03 22:30:00,-0.04,-0.02
74,74,2024-10-03 23:30:00,-0.05,-0.02
75,75,2024-10-04 00:30:00,-0.03,-0.02
76,76,2024-10-04 01:30:00,-0.04,-0.02
77,77,2024-10-04 02:30:00,-0.03,-0.02
78,78,2024-10-04 03:30:00,-0.02,-0.02
79,79,2024-10-04 04:30:00,-0.04,-0.02
80,80,2024-10-04 05:30:00,-0.01,-0.02
81,81,2024-10-04 06:30:00,-0.04,-0.01
82,82,2024-10-04 07:30:00,-0.04,-0.01
83,83,2024-10-04 08:30:00,-0.02,-0.01
84,84,2024-10-04 09:30:00,-0.03,-0.01
85,85,2024-10-04 10:30:00,-0.04,-0.01
86,86,2024-10-04 11:30:00,-0.01,-0.02
87,87,2024-10-04 12:30:00,-0.03,-0.01
88,88,2024-10-04 13:30:00,-0.0,-0.01
89,89,2024-10-04 14:30:00,-0.02,-0.01
90,90,2024-10-04 15:30:00,-0.01,0.0
91,91,2024-10-04 16:30:00,-0.01,0.02
92,92,2024-10-04 17:30:00,-0.01,0.03
93,93,2024-10-04 18:30:00,-0.02,0.04
94,94,2024-10-04 19:30:00,-0.04,0.02
95,95,2024-10-04 20:30:00,-0.06,-0.0
96,96,2024-10-04 21:30:00,-0.06,-0.0
97,97,2024-10-04 22:30:00,-0.07,0.0
98,98,2024-10-04 23:30:00,-0.07,0.0
99,99,2024-10-05 00:30:00,-0.06,-0.0
100,100,2024-10-05 01:30:00,-0.05,-0.0
101,101,2024-10-05 02:30:00,-0.05,-0.0
102,102,2024-10-05 03:30:00,-0.04,-0.01
103,103,2024-10-05 04:30:00,-0.03,-0.01
104,104,2024-10-05 05:30:00,-0.02,-0.01
105,105,2024-10-05 06:30:00,-0.02,-0.01
106,106,2024-10-05 07:30:00,-0.01,-0.01
107,107,2024-10-05 08:30:00,-0.01,-0.01
108,108,2024-10-05 09:30:00,-0.0,-0.0
109,109,2024-10-05 10:30:00,-0.01,0.0
110,110,2024-10-05 11:30:00,0.01,0.0
111,111,2024-10-05 12:30:00,-0.01,0.01
112,112,2024-10-05 13:30:00,0.0,0.0
113,113,2024-10-05 14:30:00,0.01,-0.0
114,114,2024-10-05 15:30:00,-0.0,-0.0
115,115,2024-10-05 16:30:00,-0.0,-0.01
116,116,2024-10-05 17:30:00,-0.01,-0.01
117,117,2024-10-05 18:30:00,-0.02,-0.01
118,118,2024-10-05 19:30:00,-0.03,-0.01
119,119,2024-10-05 20:30:00,-0.02,-0.01
120,120,2024-10-05 21:30:00,-0.03,-0.0
121,121,2024-10-05 22:30:00,-0.03,-0.01
122,122,2024-10-05 23:30:00,-0.04,-0.01
123,123,2024-10-06 00:30:00,-0.05,-0.01
124,124,2024-10-06 01:30:00,-0.03,-0.02
125,125,2024-10-06 02:30:00,-0.06,-0.01
126,126,2024-10-06 03:30:00,-0.06,-0.01
127,127,2024-10-06 04:30:00,-0.07,-0.01
128,128,2024-10-06 05:30:00,-0.08,-0.01
129,129,2024-10-06 06:30:00,-0.08,-0.01
130,130,2024-10-06 07:30:00,-0.08,-0.0
131,131,2024-10-06 08:30:00,-0.1,0.0
132,132,2024-10-06 09:30:00,-0.07,0.0
133,133,2024-10-06 10:30:00,-0.07,0.0
134,134,2024-10-06 11:30:00,-0.08,0.0
135,135,2024-10-06 12:30:00,-0.04,0.0
136,136,2024-10-06 13:30:00,-0.05,0.0
137,137,2024-10-06 14:30:00,-0.02,0.0
138,138,2024-10-06 15:30:00,-0.03,0.01
139,139,2024-10-06 16:30:00,-0.01,0.0
140,140,2024-10-06 17:30:00,-0.02,0.01
141,141,2024-10-06 18:30:00,-0.02,0.01
142,142,2024-10-06 19:30:00,-0.02,0.01
143,143,2024-10-06 20:30:00,-0.03,0.0
144,144,2024-10-06 21:30:00,-0.04,0.0
145,145,2024-10-06 22:30:00,-0.03,-0.0
146,146,2024-10-06 23:30:00,-0.05,-0.0
147,147,2024-10-07 00:30:00,-0.05,-0.01
148,148,2024-10-07 01:30:00,-0.04,-0.01
149,149,2024-10-07 02:30:00,-0.05,-0.02
150,150,2024-10-07 03:30:00,-0.05,-0.02
151,151,2024-10-07 04:30:00,-0.05,-0.02
152,152,2024-10-07 05:30:00,-0.06,-0.02
153,153,2024-10-07 06:30:00,-0.05,-0.02
154,154,2024-10-07 07:30:00,-0.06,-0.01
155,155,2024-10-07 08:30:00,-0.06,-0.0
156,156,2024-10-07 09:30:00,-0.05,0.0
157,157,2024-10-07 10:30:00,-0.04,0.01
158,158,2024-10-07 11:30:00,-0.04,0.01
159,159,2024-10-07 12:30:00,-0.01,0.02
160,160,2024-10-07 13:30:00,-0.01,0.02
161,161,2024-10-07 14:30:00,0.02,0.02
162,162,2024-10-07 15:30:00,0.01,0.02
163,163,2024-10-07 16:30:00,0.03,0.02
164,164,2024-10-07 17:30:00,0.01,0.02
165,165,2024-10-07 18:30:00,0.03,0.01
166,166,2024-10-07 19:30:00,0.01,0.01
167,167,2024-10-07 20:30:00,0.02,-0.0
168,168,2024-10-07 21:30:00,0.0,-0.01
169,169,2024-10-07 22:30:00,0.01,-0.02
170,170,2024-10-07 23:30:00,-0.02,-0.02
171,171,2024-10-08 00:30:00,-0.02,-0.02
172,172,2024-10-08 01:30:00,-0.04,-0.02
