N,itm,Date,u,v
1,1,2025-10-21 18:30:00,,
2,2,2025-10-21 19:30:00,,
3,3,2025-10-21 20:30:00,,
4,4,2025-10-21 21:30:00,,
5,5,2025-10-21 22:30:00,,
6,6,2025-10-21 23:30:00,,
7,7,2025-10-22 00:30:00,,
8,8,2025-10-22 01:30:00,,
9,9,2025-10-22 02:30:00,,
10,10,2025-10-22 03:30:00,,
11,11,2025-10-22 04:30:00,,
12,12,2025-10-22 05:30:00,,
13,13,2025-10-22 06:30:00,,
14,14,2025-10-22 07:30:00,,
15,15,2025-10-22 08:30:00,,
16,16,2025-10-22 09:30:00,,
17,17,2025-10-22 10:30:00,,
18,18,2025-10-22 11:30:00,,
19,19,2025-10-22 12:30:00,,
20,20,2025-10-22 13:30:00,,
21,21,2025-10-22 14:30:00,,
22,22,2025-10-22 15:30:00,,
23,23,2025-10-22 16:30:00,,
24,24,2025-10-22 17:30:00,,
25,25,2025-10-22 18:30:00,,
26,26,2025-10-22 19:30:00,,
27,27,2025-10-22 20:30:00,,
28,28,2025-10-22 21:30:00,,
29,29,2025-10-22 22:30:00,,
30,30,2025-10-22 23:30:00,,
31,31,2025-10-23 00:30:00,,
32,32,2025-10-23 01:30:00,,
33,33,2025-10-23 02:30:00,,
34,34,2025-10-23 03:30:00,,
35,35,2025-10-23 04:30:00,,
36,36,2025-10-23 05:30:00,,
37,37,2025-10-23 06:30:00,,
38,38,2025-10-23 07:30:00,,
39,39,2025-10-23 08:30:00,,
40,40,2025-10-23 09:30:00,,
41,41,2025-10-23 10:30:00,,
42,42,2025-10-23 11:30:00,,
43,43,2025-10-23 12:30:00,,
44,44,2025-10-23 13:30:00,,
45,45,2025-10-23 14:30:00,,
46,46,2025-10-23 15:30:00,,
47,47,2025-10-23 16:30:00,,
48,48,2025-10-23 17:30:00,,
49,49,2025-10-23 18:30:00,,
50,50,2025-10-23 19:30:00,,
51,51,2025-10-23 20:30:00,,
52,52,2025-10-23 21:30:00,,
53,53,2025-10-23 22:30:00,,
54,54,2025-10-23 23:30:00,,
55,55,2025-10-24 00:30:00,,
56,56,2025-10-24 01:30:00,,
57,57,2025-10-24 02:30:00,,
