N,itm,Date,t,s
1,1,2025-10-21 18:30:00,16.0,33.4
2,2,2025-10-21 19:30:00,15.98,33.4
3,3,2025-10-21 20:30:00,15.96,33.4
4,4,2025-10-21 21:30:00,15.95,33.4
5,5,2025-10-21 22:30:00,15.94,33.4
6,6,2025-10-21 23:30:00,15.94,33.4
7,7,2025-10-22 00:30:00,15.94,33.4
8,8,2025-10-22 01:30:00,15.94,33.4
9,9,2025-10-22 02:30:00,15.94,33.4
10,10,2025-10-22 03:30:00,15.94,33.4
11,11,2025-10-22 04:30:00,15.93,33.4
12,12,2025-10-22 05:30:00,15.93,33.4
13,13,2025-10-22 06:30:00,15.91,33.4
14,14,2025-10-22 07:30:00,15.9,33.4
15,15,2025-10-22 08:30:00,15.88,33.4
16,16,2025-10-22 09:30:00,15.86,33.4
17,17,2025-10-22 10:30:00,15.84,33.4
18,18,2025-10-22 11:30:00,15.82,33.4
19,19,2025-10-22 12:30:00,15.8,33.4
20,20,2025-10-22 13:30:00,15.78,33.4
21,21,2025-10-22 14:30:00,15.76,33.4
22,22,2025-10-22 15:30:00,15.74,33.4
23,23,2025-10-22 16:30:00,15.72,33.4
24,24,2025-10-22 17:30:00,15.7,33.4
25,25,2025-10-22 18:30:00,15.68,33.4
26,26,2025-10-22 19:30:00,15.66,33.4
27,27,2025-10-22 20:30:00,15.64,33.3
28,28,2025-10-22 21:30:00,15.62,33.3
29,29,2025-10-22 22:30:00,15.61,33.3
30,30,2025-10-22 23:30:00,15.58,33.3
31,31,2025-10-23 00:30:00,15.53,33.3
32,32,2025-10-23 01:30:00,15.42,33.3
33,33,2025-10-23 02:30:00,15.23,33.2
34,34,2025-10-23 03:30:00,15.0,33.1
35,35,2025-10-23 04:30:00,14.82,33.0
36,36,2025-10-23 05:30:00,14.75,33.0
37,37,2025-10-23 06:30:00,14.74,33.0
38,38,2025-10-23 07:30:00,14.75,33.0
39,39,2025-10-23 08:30:00,14.8,33.0
40,40,2025-10-23 09:30:00,14.85,33.1
41,41,2025-10-23 10:30:00,14.91,33.1
42,42,2025-10-23 11:30:00,14.96,33.1
43,43,2025-10-23 12:30:00,14.97,33.1
44,44,2025-10-23 13:30:00,14.93,33.1
45,45,2025-10-23 14:30:00,14.85,33.1
46,46,2025-10-23 15:30:00,14.72,33.0
47,47,2025-10-23 16:30:00,14.58,32.9
48,48,2025-10-23 17:30:00,14.47,32.9
49,49,2025-10-23 18:30:00,14.39,32.8
50,50,2025-10-23 19:30:00,14.3,32.8
51,51,2025-10-23 20:30:00,14.21,32.7
52,52,2025-10-23 21:30:00,14.14,32.7
53,53,2025-10-23 22:30:00,14.11,32.7
54,54,2025-10-23 23:30:00,14.09,32.7
55,55,2025-10-24 00:30:00,14.09,32.7
56,56,2025-10-24 01:30:00,14.11,32.7
57,57,2025-10-24 02:30:00,14.12,32.7
58,58,2025-10-24 03:30:00,14.13,32.7
59,59,2025-10-24 04:30:00,14.15,32.6
60,60,2025-10-24 05:30:00,14.19,32.6
61,61,2025-10-24 06:30:00,14.3,32.7
62,62,2025-10-24 07:30:00,14.51,32.8
63,63,2025-10-24 08:30:00,14.77,32.9
64,64,2025-10-24 09:30:00,14.9,33.0
65,65,2025-10-24 10:30:00,14.9,33.0
66,66,2025-10-24 11:30:00,14.79,33.0
67,67,2025-10-24 12:30:00,14.65,33.0
68,68,2025-10-24 13:30:00,14.52,32.9
69,69,2025-10-24 14:30:00,14.51,32.9
70,70,2025-10-24 15:30:00,14.54,33.0
71,71,2025-10-24 16:30:00,14.55,33.0
72,72,2025-10-24 17:30:00,14.56,33.0
73,73,2025-10-24 18:30:00,14.59,33.0
74,74,2025-10-24 19:30:00,14.63,33.0
75,75,2025-10-24 20:30:00,14.66,33.0
76,76,2025-10-24 21:30:00,14.7,33.0
77,77,2025-10-24 22:30:00,14.74,33.0
78,78,2025-10-24 23:30:00,14.76,33.0
79,79,2025-10-25 00:30:00,14.77,33.0
80,80,2025-10-25 01:30:00,14.76,33.0
81,81,2025-10-25 02:30:00,14.76,33.0
82,82,2025-10-25 03:30:00,14.77,33.0
83,83,2025-10-25 04:30:00,14.8,33.0
84,84,2025-10-25 05:30:00,14.79,33.0
85,85,2025-10-25 06:30:00,14.83,33.0
86,86,2025-10-25 07:30:00,15.1,33.1
87,87,2025-10-25 08:30:00,15.2,33.2
88,88,2025-10-25 09:30:00,15.22,33.2
89,89,2025-10-25 10:30:00,15.2,33.2
90,90,2025-10-25 11:30:00,15.15,33.1
91,91,2025-10-25 12:30:00,15.05,33.1
92,92,2025-10-25 13:30:00,15.04,33.1
93,93,2025-10-25 14:30:00,15.14,33.1
94,94,2025-10-25 15:30:00,15.24,33.1
95,95,2025-10-25 16:30:00,15.31,33.1
96,96,2025-10-25 17:30:00,15.34,33.1
97,97,2025-10-25 18:30:00,15.35,33.1
98,98,2025-10-25 19:30:00,15.34,33.1
99,99,2025-10-25 20:30:00,15.32,33.1
100,100,2025-10-25 21:30:00,15.31,33.1
101,101,2025-10-25 22:30:00,15.31,33.1
102,102,2025-10-25 23:30:00,15.31,33.1
103,103,2025-10-26 00:30:00,15.3,33.1
104,104,2025-10-26 01:30:00,15.29,33.1
105,105,2025-10-26 02:30:00,15.28,33.1
106,106,2025-10-26 03:30:00,15.25,33.0
107,107,2025-10-26 04:30:00,15.22,33.0
108,108,2025-10-26 05:30:00,15.18,33.0
109,109,2025-10-26 06:30:00,15.13,33.0
110,110,2025-10-26 07:30:00,15.08,33.0
111,111,2025-10-26 08:30:00,15.03,33.0
112,112,2025-10-26 09:30:00,15.0,32.9
113,113,2025-10-26 10:30:00,14.96,32.9
114,114,2025-10-26 11:30:00,14.94,32.9
115,115,2025-10-26 12:30:00,14.91,32.9
116,116,2025-10-26 13:30:00,14.89,32.9
117,117,2025-10-26 14:30:00,14.86,32.9
118,118,2025-10-26 15:30:00,14.84,32.9
119,119,2025-10-26 16:30:00,14.82,32.9
120,120,2025-10-26 17:30:00,14.8,32.9
121,121,2025-10-26 18:30:00,14.79,32.9
122,122,2025-10-26 19:30:00,14.77,32.9
123,123,2025-10-26 20:30:00,14.67,32.9
124,124,2025-10-26 21:30:00,14.57,32.8
125,125,2025-10-26 22:30:00,14.58,32.9
126,126,2025-10-26 23:30:00,14.62,32.9
127,127,2025-10-27 00:30:00,14.64,32.9
128,128,2025-10-27 01:30:00,14.66,33.0
129,129,2025-10-27 02:30:00,14.67,33.0
130,130,2025-10-27 03:30:00,14.68,33.0
131,131,2025-10-27 04:30:00,14.69,33.0
132,132,2025-10-27 05:30:00,14.68,33.0
133,133,2025-10-27 06:30:00,14.68,33.0
134,134,2025-10-27 07:30:00,14.67,33.0
135,135,2025-10-27 08:30:00,14.66,33.0
136,136,2025-10-27 09:30:00,14.65,33.0
137,137,2025-10-27 10:30:00,14.65,33.0
138,138,2025-10-27 11:30:00,14.64,33.0
139,139,2025-10-27 12:30:00,14.64,33.0
140,140,2025-10-27 13:30:00,14.63,33.0
141,141,2025-10-27 14:30:00,14.62,33.0
142,142,2025-10-27 15:30:00,14.63,33.1
143,143,2025-10-27 16:30:00,14.63,33.1
144,144,2025-10-27 17:30:00,14.63,33.1
145,145,2025-10-27 18:30:00,14.64,33.1
