N,itm,Date,u,v
1,1,2025-10-21 18:30:00,0.02,-0.01
2,2,2025-10-21 19:30:00,0.01,-0.02
3,3,2025-10-21 20:30:00,-0.01,-0.03
4,4,2025-10-21 21:30:00,-0.02,-0.03
5,5,2025-10-21 22:30:00,-0.02,-0.03
6,6,2025-10-21 23:30:00,-0.02,-0.03
7,7,2025-10-22 00:30:00,-0.01,-0.03
8,8,2025-10-22 01:30:00,0.01,-0.01
9,9,2025-10-22 02:30:00,0.02,0.0
10,10,2025-10-22 03:30:00,0.04,0.01
11,11,2025-10-22 04:30:00,0.05,0.01
12,12,2025-10-22 05:30:00,0.05,0.01
13,13,2025-10-22 06:30:00,0.04,0.01
14,14,2025-10-22 07:30:00,0.02,0.01
15,15,2025-10-22 08:30:00,0.0,0.01
16,16,2025-10-22 09:30:00,-0.0,0.01
17,17,2025-10-22 10:30:00,-0.01,-0.01
18,18,2025-10-22 11:30:00,-0.01,-0.03
19,19,2025-10-22 12:30:00,-0.02,-0.05
20,20,2025-10-22 13:30:00,-0.04,-0.06
21,21,2025-10-22 14:30:00,-0.06,-0.06
22,22,2025-10-22 15:30:00,-0.07,-0.06
23,23,2025-10-22 16:30:00,-0.07,-0.06
24,24,2025-10-22 17:30:00,-0.07,-0.06
25,25,2025-10-22 18:30:00,-0.06,-0.05
26,26,2025-10-22 19:30:00,-0.05,-0.06
27,27,2025-10-22 20:30:00,-0.05,-0.06
28,28,2025-10-22 21:30:00,-0.04,-0.05
29,29,2025-10-22 22:30:00,-0.03,-0.02
30,30,2025-10-22 23:30:00,-0.0,0.01
31,31,2025-10-23 00:30:00,0.03,0.04
32,32,2025-10-23 01:30:00,0.07,0.06
33,33,2025-10-23 02:30:00,0.1,0.07
34,34,2025-10-23 03:30:00,0.11,0.06
35,35,2025-10-23 04:30:00,0.09,0.03
36,36,2025-10-23 05:30:00,0.05,0.01
37,37,2025-10-23 06:30:00,0.01,0.0
38,38,2025-10-23 07:30:00,-0.02,-0.0
39,39,2025-10-23 08:30:00,-0.04,-0.01
40,40,2025-10-23 09:30:00,-0.03,-0.03
41,41,2025-10-23 10:30:00,-0.02,-0.04
42,42,2025-10-23 11:30:00,-0.02,-0.05
43,43,2025-10-23 12:30:00,-0.03,-0.06
44,44,2025-10-23 13:30:00,-0.03,-0.05
45,45,2025-10-23 14:30:00,-0.03,-0.04
46,46,2025-10-23 15:30:00,-0.03,-0.02
47,47,2025-10-23 16:30:00,-0.03,-0.01
48,48,2025-10-23 17:30:00,-0.03,-0.01
49,49,2025-10-23 18:30:00,-0.04,-0.02
50,50,2025-10-23 19:30:00,-0.03,-0.02
51,51,2025-10-23 20:30:00,-0.03,-0.02
52,52,2025-10-23 21:30:00,-0.02,-0.02
53,53,2025-10-23 22:30:00,-0.0,-0.01
54,54,2025-10-23 23:30:00,0.02,0.02
55,55,2025-10-24 00:30:00,0.05,0.04
56,56,2025-10-24 01:30:00,0.1,0.06
57,57,2025-10-24 02:30:00,0.13,0.07
58,58,2025-10-24 03:30:00,0.15,0.06
59,59,2025-10-24 04:30:00,0.13,0.04
60,60,2025-10-24 05:30:00,0.09,0.01
61,61,2025-10-24 06:30:00,0.03,0.01
62,62,2025-10-24 07:30:00,-0.0,0.02
63,63,2025-10-24 08:30:00,-0.02,0.02
64,64,2025-10-24 09:30:00,-0.02,0.01
65,65,2025-10-24 10:30:00,-0.01,-0.01
66,66,2025-10-24 11:30:00,-0.02,-0.03
67,67,2025-10-24 12:30:00,-0.03,-0.04
68,68,2025-10-24 13:30:00,-0.05,-0.05
69,69,2025-10-24 14:30:00,-0.07,-0.06
70,70,2025-10-24 15:30:00,-0.08,-0.05
71,71,2025-10-24 16:30:00,-0.08,-0.05
72,72,2025-10-24 17:30:00,-0.09,-0.06
73,73,2025-10-24 18:30:00,-0.09,-0.06
74,74,2025-10-24 19:30:00,-0.08,-0.06
75,75,2025-10-24 20:30:00,-0.06,-0.03
76,76,2025-10-24 21:30:00,-0.03,0.01
77,77,2025-10-24 22:30:00,0.02,0.05
78,78,2025-10-24 23:30:00,0.09,0.1
79,79,2025-10-25 00:30:00,0.16,0.14
80,80,2025-10-25 01:30:00,0.21,0.15
81,81,2025-10-25 02:30:00,0.23,0.13
82,82,2025-10-25 03:30:00,0.2,0.09
83,83,2025-10-25 04:30:00,0.14,0.04
84,84,2025-10-25 05:30:00,0.06,0.02
85,85,2025-10-25 06:30:00,0.01,0.02
86,86,2025-10-25 07:30:00,-0.02,0.01
87,87,2025-10-25 08:30:00,-0.02,-0.02
88,88,2025-10-25 09:30:00,-0.02,-0.05
89,89,2025-10-25 10:30:00,-0.03,-0.07
90,90,2025-10-25 11:30:00,-0.05,-0.08
91,91,2025-10-25 12:30:00,-0.07,-0.08
92,92,2025-10-25 13:30:00,-0.08,-0.07
93,93,2025-10-25 14:30:00,-0.08,-0.06
94,94,2025-10-25 15:30:00,-0.08,-0.04
95,95,2025-10-25 16:30:00,-0.08,-0.03
96,96,2025-10-25 17:30:00,-0.08,-0.04
97,97,2025-10-25 18:30:00,-0.08,-0.05
98,98,2025-10-25 19:30:00,-0.07,-0.03
99,99,2025-10-25 20:30:00,-0.05,-0.01
100,100,2025-10-25 21:30:00,-0.02,0.0
101,101,2025-10-25 22:30:00,0.01,0.02
102,102,2025-10-25 23:30:00,0.05,0.05
103,103,2025-10-26 00:30:00,0.1,0.09
104,104,2025-10-26 01:30:00,0.15,0.11
105,105,2025-10-26 02:30:00,0.18,0.1
106,106,2025-10-26 03:30:00,0.18,0.06
107,107,2025-10-26 04:30:00,0.13,0.0
108,108,2025-10-26 05:30:00,0.06,-0.04
109,109,2025-10-26 06:30:00,-0.01,-0.04
110,110,2025-10-26 07:30:00,-0.05,-0.02
111,111,2025-10-26 08:30:00,-0.05,-0.02
112,112,2025-10-26 09:30:00,-0.06,-0.04
113,113,2025-10-26 10:30:00,-0.06,-0.05
114,114,2025-10-26 11:30:00,-0.08,-0.07
115,115,2025-10-26 12:30:00,-0.1,-0.08
116,116,2025-10-26 13:30:00,-0.11,-0.08
117,117,2025-10-26 14:30:00,-0.11,-0.08
118,118,2025-10-26 15:30:00,-0.11,-0.08
119,119,2025-10-26 16:30:00,-0.12,-0.09
120,120,2025-10-26 17:30:00,-0.13,-0.12
121,121,2025-10-26 18:30:00,-0.14,-0.14
122,122,2025-10-26 19:30:00,-0.14,-0.15
123,123,2025-10-26 20:30:00,-0.14,-0.15
124,124,2025-10-26 21:30:00,-0.12,-0.15
125,125,2025-10-26 22:30:00,-0.11,-0.14
126,126,2025-10-26 23:30:00,-0.08,-0.11
127,127,2025-10-27 00:30:00,-0.04,-0.06
128,128,2025-10-27 01:30:00,0.03,-0.01
129,129,2025-10-27 02:30:00,0.09,0.03
130,130,2025-10-27 03:30:00,0.14,0.04
131,131,2025-10-27 04:30:00,0.13,0.01
132,132,2025-10-27 05:30:00,0.09,-0.05
133,133,2025-10-27 06:30:00,0.02,-0.09
134,134,2025-10-27 07:30:00,-0.04,-0.09
135,135,2025-10-27 08:30:00,-0.07,-0.06
136,136,2025-10-27 09:30:00,-0.05,-0.07
137,137,2025-10-27 10:30:00,-0.04,-0.11
138,138,2025-10-27 11:30:00,-0.05,-0.14
139,139,2025-10-27 12:30:00,-0.07,-0.17
140,140,2025-10-27 13:30:00,-0.09,-0.19
141,141,2025-10-27 14:30:00,-0.1,-0.2
142,142,2025-10-27 15:30:00,-0.1,-0.21
143,143,2025-10-27 16:30:00,-0.1,-0.21
144,144,2025-10-27 17:30:00,-0.13,-0.23
145,145,2025-10-27 18:30:00,-0.16,-0.24
146,146,2025-10-27 19:30:00,-0.18,-0.24
147,147,2025-10-27 20:30:00,-0.17,-0.21
148,148,2025-10-27 21:30:00,-0.15,-0.17
149,149,2025-10-27 22:30:00,-0.12,-0.14
150,150,2025-10-27 23:30:00,-0.08,-0.1
151,151,2025-10-28 00:30:00,-0.03,-0.06
152,152,2025-10-28 01:30:00,0.03,-0.02
153,153,2025-10-28 02:30:00,0.1,0.02
154,154,2025-10-28 03:30:00,0.16,0.03
155,155,2025-10-28 04:30:00,0.18,0.01
156,156,2025-10-28 05:30:00,0.16,-0.04
157,157,2025-10-28 06:30:00,0.11,-0.1
158,158,2025-10-28 07:30:00,0.05,-0.15
159,159,2025-10-28 08:30:00,-0.01,-0.15
160,160,2025-10-28 09:30:00,-0.03,-0.14
161,161,2025-10-28 10:30:00,-0.03,-0.14
162,162,2025-10-28 11:30:00,-0.03,-0.16
163,163,2025-10-28 12:30:00,-0.04,-0.16
164,164,2025-10-28 13:30:00,-0.05,-0.17
165,165,2025-10-28 14:30:00,-0.06,-0.18
166,166,2025-10-28 15:30:00,-0.06,-0.18
167,167,2025-10-28 16:30:00,-0.07,-0.18
168,168,2025-10-28 17:30:00,-0.09,-0.17
169,169,2025-10-28 18:30:00,-0.11,-0.17
170,170,2025-10-28 19:30:00,-0.12,-0.17
171,171,2025-10-28 20:30:00,-0.12,-0.17
172,172,2025-10-28 21:30:00,-0.12,-0.16
173,173,2025-10-28 22:30:00,-0.11,-0.15
174,174,2025-10-28 23:30:00,-0.1,-0.14
175,175,2025-10-29 00:30:00,-0.1,-0.13
176,176,2025-10-29 01:30:00,-0.09,-0.12
177,177,2025-10-29 02:30:00,-0.07,-0.09
178,178,2025-10-29 03:30:00,-0.03,-0.04
179,179,2025-10-29 04:30:00,0.03,0.01
180,180,2025-10-29 05:30:00,0.1,0.06
181,181,2025-10-29 06:30:00,0.15,0.07
182,182,2025-10-29 07:30:00,0.16,0.06
183,183,2025-10-29 08:30:00,0.13,0.02
184,184,2025-10-29 09:30:00,0.07,-0.02
185,185,2025-10-29 10:30:00,0.01,-0.04
186,186,2025-10-29 11:30:00,-0.03,-0.03
187,187,2025-10-29 12:30:00,-0.04,-0.04
188,188,2025-10-29 13:30:00,-0.05,-0.07
189,189,2025-10-29 14:30:00,-0.07,-0.09
190,190,2025-10-29 15:30:00,-0.09,-0.11
191,191,2025-10-29 16:30:00,-0.11,-0.12
192,192,2025-10-29 17:30:00,-0.11,-0.12
193,193,2025-10-29 18:30:00,-0.11,-0.1
194,194,2025-10-29 19:30:00,-0.1,-0.1
195,195,2025-10-29 20:30:00,-0.11,-0.12
196,196,2025-10-29 21:30:00,-0.13,-0.13
197,197,2025-10-29 22:30:00,-0.14,-0.14
198,198,2025-10-29 23:30:00,-0.13,-0.13
