N,itm,Date,u,v
1,1,2024-09-30 22:30:00,0.01,-0.01
2,2,2024-09-30 23:30:00,0.0,0.0
3,3,2024-10-01 00:30:00,0.0,0.0
4,4,2024-10-01 01:30:00,0.0,0.01
5,5,2024-10-01 02:30:00,-0.0,0.03
6,6,2024-10-01 03:30:00,0.01,0.03
7,7,2024-10-01 04:30:00,0.01,0.05
8,8,2024-10-01 05:30:00,0.02,0.05
9,9,2024-10-01 06:30:00,0.02,0.06
10,10,2024-10-01 07:30:00,0.04,0.04
11,11,2024-10-01 08:30:00,0.03,0.04
12,12,2024-10-01 09:30:00,0.04,0.02
13,13,2024-10-01 10:30:00,0.03,0.0
14,14,2024-10-01 11:30:00,0.04,-0.03
15,15,2024-10-01 12:30:00,0.03,-0.05
16,16,2024-10-01 13:30:00,0.02,-0.06
17,17,2024-10-01 14:30:00,0.01,-0.08
18,18,2024-10-01 15:30:00,-0.0,-0.09
19,19,2024-10-01 16:30:00,-0.02,-0.09
20,20,2024-10-01 17:30:00,-0.03,-0.09
21,21,2024-10-01 18:30:00,-0.04,-0.08
22,22,2024-10-01 19:30:00,-0.05,-0.06
23,23,2024-10-01 20:30:00,-0.05,-0.05
24,24,2024-10-01 21:30:00,-0.05,-0.02
25,25,2024-10-01 22:30:00,-0.04,-0.01
26,26,2024-10-01 23:30:00,-0.03,0.02
27,27,2024-10-02 00:30:00,-0.02,0.04
28,28,2024-10-02 01:30:00,0.0,0.04
29,29,2024-10-02 02:30:00,-0.0,0.07
30,30,2024-10-02 03:30:00,0.01,0.08
31,31,2024-10-02 04:30:00,0.02,0.09
32,32,2024-10-02 05:30:00,0.04,0.1
33,33,2024-10-02 06:30:00,0.06,0.09
34,34,2024-10-02 07:30:00,0.07,0.08
35,35,2024-10-02 08:30:00,0.06,0.08
36,36,2024-10-02 09:30:00,0.09,0.05
37,37,2024-10-02 10:30:00,0.06,0.06
38,38,2024-10-02 11:30:00,0.04,0.05
39,39,2024-10-02 12:30:00,0.03,0.04
40,40,2024-10-02 13:30:00,0.01,0.06
41,41,2024-10-02 14:30:00,0.0,0.06
42,42,2024-10-02 15:30:00,-0.0,0.07
43,43,2024-10-02 16:30:00,0.01,0.07
44,44,2024-10-02 17:30:00,0.01,0.07
45,45,2024-10-02 18:30:00,0.04,0.05
46,46,2024-10-02 19:30:00,0.04,0.04
47,47,2024-10-02 20:30:00,0.05,0.01
48,48,2024-10-02 21:30:00,0.05,-0.0
49,49,2024-10-02 22:30:00,0.05,-0.02
50,50,2024-10-02 23:30:00,0.05,-0.03
51,51,2024-10-03 00:30:00,0.04,-0.03
52,52,2024-10-03 01:30:00,0.02,-0.02
53,53,2024-10-03 02:30:00,0.02,-0.02
54,54,2024-10-03 03:30:00,0.02,-0.01
55,55,2024-10-03 04:30:00,0.01,0.02
56,56,2024-10-03 05:30:00,0.01,0.02
57,57,2024-10-03 06:30:00,0.01,0.03
58,58,2024-10-03 07:30:00,0.01,0.04
59,59,2024-10-03 08:30:00,0.02,0.04
60,60,2024-10-03 09:30:00,0.04,0.02
61,61,2024-10-03 10:30:00,0.03,0.03
62,62,2024-10-03 11:30:00,0.04,0.0
63,63,2024-10-03 12:30:00,0.04,-0.0
64,64,2024-10-03 13:30:00,0.04,-0.03
65,65,2024-10-03 14:30:00,0.03,-0.03
66,66,2024-10-03 15:30:00,0.04,-0.04
67,67,2024-10-03 16:30:00,0.03,-0.04
68,68,2024-10-03 17:30:00,0.02,-0.05
69,69,2024-10-03 18:30:00,0.01,-0.05
70,70,2024-10-03 19:30:00,0.02,-0.05
71,71,2024-10-03 20:30:00,0.01,-0.05
72,72,2024-10-03 21:30:00,0.01,-0.05
73,73,2024-10-03 22:30:00,0.02,-0.05
74,74,2024-10-03 23:30:00,0.01,-0.05
75,75,2024-10-04 00:30:00,0.02,-0.05
76,76,2024-10-04 01:30:00,0.02,-0.05
77,77,2024-10-04 02:30:00,0.02,-0.05
78,78,2024-10-04 03:30:00,0.02,-0.05
79,79,2024-10-04 04:30:00,0.01,-0.03
80,80,2024-10-04 05:30:00,0.02,-0.05
81,81,2024-10-04 06:30:00,0.0,-0.03
82,82,2024-10-04 07:30:00,0.0,-0.02
83,83,2024-10-04 08:30:00,0.01,-0.02
84,84,2024-10-04 09:30:00,0.01,-0.01
85,85,2024-10-04 10:30:00,0.0,0.0
86,86,2024-10-04 11:30:00,0.02,-0.01
87,87,2024-10-04 12:30:00,0.01,0.01
88,88,2024-10-04 13:30:00,0.03,-0.0
89,89,2024-10-04 14:30:00,0.02,0.01
90,90,2024-10-04 15:30:00,0.03,0.01
91,91,2024-10-04 16:30:00,0.03,0.02
92,92,2024-10-04 17:30:00,0.03,0.04
93,93,2024-10-04 18:30:00,0.04,0.05
94,94,2024-10-04 19:30:00,0.05,0.06
95,95,2024-10-04 20:30:00,0.07,0.06
96,96,2024-10-04 21:30:00,0.09,0.05
97,97,2024-10-04 22:30:00,0.1,0.02
98,98,2024-10-04 23:30:00,0.1,0.0
99,99,2024-10-05 00:30:00,0.09,-0.03
100,100,2024-10-05 01:30:00,0.08,-0.05
101,101,2024-10-05 02:30:00,0.06,-0.07
102,102,2024-10-05 03:30:00,0.05,-0.08
103,103,2024-10-05 04:30:00,0.03,-0.08
104,104,2024-10-05 05:30:00,0.02,-0.07
105,105,2024-10-05 06:30:00,0.0,-0.05
106,106,2024-10-05 07:30:00,-0.0,-0.04
107,107,2024-10-05 08:30:00,-0.01,-0.02
108,108,2024-10-05 09:30:00,-0.01,-0.01
109,109,2024-10-05 10:30:00,-0.02,0.01
110,110,2024-10-05 11:30:00,-0.0,0.01
111,111,2024-10-05 12:30:00,-0.0,0.02
112,112,2024-10-05 13:30:00,0.01,0.03
113,113,2024-10-05 14:30:00,0.03,0.02
114,114,2024-10-05 15:30:00,0.02,0.02
115,115,2024-10-05 16:30:00,0.03,0.01
116,116,2024-10-05 17:30:00,0.03,0.0
117,117,2024-10-05 18:30:00,0.02,-0.0
118,118,2024-10-05 19:30:00,0.01,-0.0
119,119,2024-10-05 20:30:00,0.01,-0.02
120,120,2024-10-05 21:30:00,0.0,-0.01
121,121,2024-10-05 22:30:00,-0.0,-0.02
122,122,2024-10-05 23:30:00,-0.01,-0.01
123,123,2024-10-06 00:30:00,-0.02,-0.01
124,124,2024-10-06 01:30:00,-0.01,-0.01
125,125,2024-10-06 02:30:00,-0.02,0.0
126,126,2024-10-06 03:30:00,-0.01,-0.01
127,127,2024-10-06 04:30:00,-0.01,-0.0
128,128,2024-10-06 05:30:00,-0.01,-0.0
129,129,2024-10-06 06:30:00,-0.01,-0.01
130,130,2024-10-06 07:30:00,-0.0,-0.01
