N,itm,Date,t,s
1,1,2025-10-21 18:30:00,11.84,33.5
2,2,2025-10-21 19:30:00,11.83,33.6
3,3,2025-10-21 20:30:00,11.82,33.6
4,4,2025-10-21 21:30:00,11.78,33.6
5,5,2025-10-21 22:30:00,11.71,33.7
6,6,2025-10-21 23:30:00,11.59,33.7
7,7,2025-10-22 00:30:00,11.44,33.8
8,8,2025-10-22 01:30:00,11.27,33.8
9,9,2025-10-22 02:30:00,11.1,33.8
10,10,2025-10-22 03:30:00,10.97,33.8
11,11,2025-10-22 04:30:00,10.93,33.8
12,12,2025-10-22 05:30:00,11.0,33.8
13,13,2025-10-22 06:30:00,11.22,33.8
14,14,2025-10-22 07:30:00,11.46,33.7
15,15,2025-10-22 08:30:00,11.59,33.6
16,16,2025-10-22 09:30:00,11.61,33.6
17,17,2025-10-22 10:30:00,11.64,33.6
18,18,2025-10-22 11:30:00,11.68,33.6
19,19,2025-10-22 12:30:00,11.69,33.6
20,20,2025-10-22 13:30:00,11.54,33.6
21,21,2025-10-22 14:30:00,11.26,33.7
22,22,2025-10-22 15:30:00,11.07,33.7
23,23,2025-10-22 16:30:00,11.16,33.6
24,24,2025-10-22 17:30:00,11.18,33.6
25,25,2025-10-22 18:30:00,11.15,33.6
26,26,2025-10-22 19:30:00,11.12,33.6
27,27,2025-10-22 20:30:00,11.1,33.7
28,28,2025-10-22 21:30:00,11.08,33.7
29,29,2025-10-22 22:30:00,11.05,33.7
30,30,2025-10-22 23:30:00,11.03,33.7
31,31,2025-10-23 00:30:00,11.0,33.7
32,32,2025-10-23 01:30:00,10.97,33.7
33,33,2025-10-23 02:30:00,10.91,33.7
34,34,2025-10-23 03:30:00,10.85,33.8
35,35,2025-10-23 04:30:00,10.81,33.8
36,36,2025-10-23 05:30:00,10.86,33.8
37,37,2025-10-23 06:30:00,10.99,33.7
38,38,2025-10-23 07:30:00,11.16,33.7
39,39,2025-10-23 08:30:00,11.26,33.6
40,40,2025-10-23 09:30:00,11.31,33.6
41,41,2025-10-23 10:30:00,11.35,33.6
42,42,2025-10-23 11:30:00,11.39,33.6
43,43,2025-10-23 12:30:00,11.41,33.6
44,44,2025-10-23 13:30:00,11.41,33.6
45,45,2025-10-23 14:30:00,11.36,33.6
46,46,2025-10-23 15:30:00,11.18,33.7
47,47,2025-10-23 16:30:00,10.99,33.7
