N,itm,Date,u,v
1,1,2024-09-29 22:30:00,0.04,0.12
2,2,2024-09-29 23:30:00,0.04,0.15
3,3,2024-09-30 00:30:00,0.05,0.16
4,4,2024-09-30 01:30:00,0.05,0.19
5,5,2024-09-30 02:30:00,0.07,0.19
6,6,2024-09-30 03:30:00,0.07,0.19
7,7,2024-09-30 04:30:00,0.07,0.18
8,8,2024-09-30 05:30:00,0.07,0.17
9,9,2024-09-30 06:30:00,0.07,0.18
10,10,2024-09-30 07:30:00,0.07,0.18
11,11,2024-09-30 08:30:00,0.06,0.17
12,12,2024-09-30 09:30:00,0.05,0.15
13,13,2024-09-30 10:30:00,0.05,0.14
14,14,2024-09-30 11:30:00,0.05,0.12
15,15,2024-09-30 12:30:00,0.05,0.11
16,16,2024-09-30 13:30:00,0.05,0.08
17,17,2024-09-30 14:30:00,0.04,0.06
18,18,2024-09-30 15:30:00,0.03,0.05
19,19,2024-09-30 16:30:00,0.02,0.05
20,20,2024-09-30 17:30:00,0.01,0.05
21,21,2024-09-30 18:30:00,0.01,0.06
22,22,2024-09-30 19:30:00,0.01,0.06
23,23,2024-09-30 20:30:00,0.01,0.06
24,24,2024-09-30 21:30:00,0.0,0.07
25,25,2024-09-30 22:30:00,0.01,0.08
26,26,2024-09-30 23:30:00,0.0,0.09
27,27,2024-10-01 00:30:00,0.01,0.1
28,28,2024-10-01 01:30:00,0.02,0.11
29,29,2024-10-01 02:30:00,0.01,0.12
30,30,2024-10-01 03:30:00,0.02,0.13
31,31,2024-10-01 04:30:00,0.01,0.15
32,32,2024-10-01 05:30:00,0.02,0.15
33,33,2024-10-01 06:30:00,0.03,0.16
34,34,2024-10-01 07:30:00,0.04,0.15
35,35,2024-10-01 08:30:00,0.04,0.15
36,36,2024-10-01 09:30:00,0.05,0.13
37,37,2024-10-01 10:30:00,0.04,0.12
38,38,2024-10-01 11:30:00,0.04,0.09
39,39,2024-10-01 12:30:00,0.03,0.07
40,40,2024-10-01 13:30:00,0.01,0.05
41,41,2024-10-01 14:30:00,0.0,0.04
42,42,2024-10-01 15:30:00,0.0,0.05
43,43,2024-10-01 16:30:00,0.02,0.07
44,44,2024-10-01 17:30:00,0.04,0.07
45,45,2024-10-01 18:30:00,0.04,0.06
46,46,2024-10-01 19:30:00,0.04,0.04
47,47,2024-10-01 20:30:00,0.04,0.03
48,48,2024-10-01 21:30:00,0.03,0.04
49,49,2024-10-01 22:30:00,0.02,0.05
50,50,2024-10-01 23:30:00,0.02,0.06
51,51,2024-10-02 00:30:00,0.01,0.07
52,52,2024-10-02 01:30:00,0.02,0.08
53,53,2024-10-02 02:30:00,0.0,0.11
54,54,2024-10-02 03:30:00,0.01,0.12
55,55,2024-10-02 04:30:00,0.01,0.13
56,56,2024-10-02 05:30:00,0.01,0.13
57,57,2024-10-02 06:30:00,0.01,0.14
58,58,2024-10-02 07:30:00,0.0,0.15
59,59,2024-10-02 08:30:00,0.0,0.17
60,60,2024-10-02 09:30:00,0.02,0.16
61,61,2024-10-02 10:30:00,0.02,0.18
62,62,2024-10-02 11:30:00,0.02,0.19
63,63,2024-10-02 12:30:00,0.03,0.18
64,64,2024-10-02 13:30:00,0.04,0.17
65,65,2024-10-02 14:30:00,0.05,0.15
66,66,2024-10-02 15:30:00,0.05,0.13
67,67,2024-10-02 16:30:00,0.06,0.1
68,68,2024-10-02 17:30:00,0.04,0.08
69,69,2024-10-02 18:30:00,0.04,0.05
70,70,2024-10-02 19:30:00,0.02,0.04
71,71,2024-10-02 20:30:00,0.01,0.01
72,72,2024-10-02 21:30:00,-0.01,0.01
73,73,2024-10-02 22:30:00,-0.01,0.01
74,74,2024-10-02 23:30:00,-0.02,0.03
75,75,2024-10-03 00:30:00,-0.02,0.05
76,76,2024-10-03 01:30:00,-0.01,0.08
77,77,2024-10-03 02:30:00,0.01,0.1
78,78,2024-10-03 03:30:00,0.03,0.12
79,79,2024-10-03 04:30:00,0.04,0.13
80,80,2024-10-03 05:30:00,0.05,0.13
81,81,2024-10-03 06:30:00,0.06,0.13
82,82,2024-10-03 07:30:00,0.06,0.12
83,83,2024-10-03 08:30:00,0.06,0.12
84,84,2024-10-03 09:30:00,0.07,0.1
85,85,2024-10-03 10:30:00,0.06,0.1
86,86,2024-10-03 11:30:00,0.06,0.08
87,87,2024-10-03 12:30:00,0.06,0.08
88,88,2024-10-03 13:30:00,0.05,0.05
89,89,2024-10-03 14:30:00,0.04,0.05
90,90,2024-10-03 15:30:00,0.03,0.04
91,91,2024-10-03 16:30:00,0.01,0.04
92,92,2024-10-03 17:30:00,-0.01,0.05
93,93,2024-10-03 18:30:00,-0.01,0.05
94,94,2024-10-03 19:30:00,0.01,0.04
95,95,2024-10-03 20:30:00,0.02,0.04
96,96,2024-10-03 21:30:00,0.04,0.03
97,97,2024-10-03 22:30:00,0.05,0.01
98,98,2024-10-03 23:30:00,0.05,0.0
99,99,2024-10-04 00:30:00,0.05,-0.0
100,100,2024-10-04 01:30:00,0.04,-0.01
101,101,2024-10-04 02:30:00,0.03,-0.01
102,102,2024-10-04 03:30:00,0.03,-0.01
103,103,2024-10-04 04:30:00,0.02,0.01
104,104,2024-10-04 05:30:00,0.02,-0.0
105,105,2024-10-04 06:30:00,-0.0,0.02
106,106,2024-10-04 07:30:00,-0.0,0.03
107,107,2024-10-04 08:30:00,-0.0,0.03
108,108,2024-10-04 09:30:00,-0.0,0.04
109,109,2024-10-04 10:30:00,0.0,0.06
110,110,2024-10-04 11:30:00,0.02,0.05
111,111,2024-10-04 12:30:00,0.03,0.07
112,112,2024-10-04 13:30:00,0.04,0.06
113,113,2024-10-04 14:30:00,0.05,0.07
114,114,2024-10-04 15:30:00,0.05,0.07
115,115,2024-10-04 16:30:00,0.06,0.07
116,116,2024-10-04 17:30:00,0.06,0.08
117,117,2024-10-04 18:30:00,0.07,0.07
118,118,2024-10-04 19:30:00,0.07,0.06
119,119,2024-10-04 20:30:00,0.07,0.04
120,120,2024-10-04 21:30:00,0.07,0.02
121,121,2024-10-04 22:30:00,0.06,0.0
122,122,2024-10-04 23:30:00,0.06,-0.01
123,123,2024-10-05 00:30:00,0.08,-0.03
124,124,2024-10-05 01:30:00,0.09,-0.04
125,125,2024-10-05 02:30:00,0.1,-0.06
126,126,2024-10-05 03:30:00,0.09,-0.08
127,127,2024-10-05 04:30:00,0.07,-0.09
128,128,2024-10-05 05:30:00,0.05,-0.1
129,129,2024-10-05 06:30:00,0.03,-0.1
130,130,2024-10-05 07:30:00,0.02,-0.1
131,131,2024-10-05 08:30:00,0.01,-0.08
132,132,2024-10-05 09:30:00,-0.0,-0.07
133,133,2024-10-05 10:30:00,-0.02,-0.04
134,134,2024-10-05 11:30:00,-0.01,-0.03
135,135,2024-10-05 12:30:00,-0.02,-0.01
136,136,2024-10-05 13:30:00,-0.01,0.01
137,137,2024-10-05 14:30:00,-0.0,0.02
138,138,2024-10-05 15:30:00,0.0,0.04
139,139,2024-10-05 16:30:00,0.02,0.05
140,140,2024-10-05 17:30:00,0.03,0.05
141,141,2024-10-05 18:30:00,0.04,0.05
142,142,2024-10-05 19:30:00,0.05,0.05
143,143,2024-10-05 20:30:00,0.05,0.03
144,144,2024-10-05 21:30:00,0.05,0.03
145,145,2024-10-05 22:30:00,0.05,0.02
146,146,2024-10-05 23:30:00,0.05,0.01
147,147,2024-10-06 00:30:00,0.04,0.01
148,148,2024-10-06 01:30:00,0.04,-0.0
149,149,2024-10-06 02:30:00,0.02,0.01
150,150,2024-10-06 03:30:00,0.01,0.0
151,151,2024-10-06 04:30:00,0.0,0.01
152,152,2024-10-06 05:30:00,-0.01,0.02
153,153,2024-10-06 06:30:00,-0.0,0.03
154,154,2024-10-06 07:30:00,0.0,0.04
155,155,2024-10-06 08:30:00,0.01,0.04
156,156,2024-10-06 09:30:00,0.02,0.03
157,157,2024-10-06 10:30:00,0.03,0.03
158,158,2024-10-06 11:30:00,0.02,0.03
159,159,2024-10-06 12:30:00,0.04,0.01
160,160,2024-10-06 13:30:00,0.04,0.01
161,161,2024-10-06 14:30:00,0.04,-0.01
162,162,2024-10-06 15:30:00,0.04,-0.0
163,163,2024-10-06 16:30:00,0.03,-0.01
164,164,2024-10-06 17:30:00,0.02,0.0
165,165,2024-10-06 18:30:00,0.01,0.01
166,166,2024-10-06 19:30:00,-0.0,0.02
167,167,2024-10-06 20:30:00,-0.0,0.03
168,168,2024-10-06 21:30:00,0.0,0.05
169,169,2024-10-06 22:30:00,0.01,0.04
170,170,2024-10-06 23:30:00,0.01,0.05
171,171,2024-10-07 00:30:00,0.02,0.04
172,172,2024-10-07 01:30:00,0.04,0.04
173,173,2024-10-07 02:30:00,0.03,0.03
174,174,2024-10-07 03:30:00,0.03,0.02
175,175,2024-10-07 04:30:00,0.02,0.0
176,176,2024-10-07 05:30:00,0.01,-0.01
177,177,2024-10-07 06:30:00,0.0,-0.02
178,178,2024-10-07 07:30:00,-0.01,-0.02
179,179,2024-10-07 08:30:00,-0.01,-0.03
180,180,2024-10-07 09:30:00,-0.01,-0.02
181,181,2024-10-07 10:30:00,-0.01,-0.02
182,182,2024-10-07 11:30:00,-0.01,-0.01
183,183,2024-10-07 12:30:00,0.0,-0.01
184,184,2024-10-07 13:30:00,0.0,0.0
185,185,2024-10-07 14:30:00,0.01,0.0
186,186,2024-10-07 15:30:00,0.01,0.02
187,187,2024-10-07 16:30:00,0.01,0.01
188,188,2024-10-07 17:30:00,0.0,0.02
189,189,2024-10-07 18:30:00,0.0,0.01
190,190,2024-10-07 19:30:00,-0.01,0.02
191,191,2024-10-07 20:30:00,-0.01,0.02
192,192,2024-10-07 21:30:00,-0.02,0.03
193,193,2024-10-07 22:30:00,-0.02,0.04
194,194,2024-10-07 23:30:00,-0.01,0.06
195,195,2024-10-08 00:30:00,0.01,0.06
196,196,2024-10-08 01:30:00,0.02,0.07
197,197,2024-10-08 02:30:00,0.05,0.05
198,198,2024-10-08 03:30:00,0.06,0.03
199,199,2024-10-08 04:30:00,0.07,0.0
200,200,2024-10-08 05:30:00,0.06,-0.01
201,201,2024-10-08 06:30:00,0.06,-0.04
202,202,2024-10-08 07:30:00,0.04,-0.06
203,203,2024-10-08 08:30:00,0.03,-0.08
204,204,2024-10-08 09:30:00,0.02,-0.08
205,205,2024-10-08 10:30:00,0.0,-0.09
206,206,2024-10-08 11:30:00,-0.01,-0.08
207,207,2024-10-08 12:30:00,-0.02,-0.08
208,208,2024-10-08 13:30:00,-0.03,-0.06
209,209,2024-10-08 14:30:00,-0.02,-0.04
210,210,2024-10-08 15:30:00,-0.0,-0.03
211,211,2024-10-08 16:30:00,0.01,-0.03
212,212,2024-10-08 17:30:00,0.02,-0.03
213,213,2024-10-08 18:30:00,0.03,-0.03
214,214,2024-10-08 19:30:00,0.03,-0.02
215,215,2024-10-08 20:30:00,0.03,-0.02
216,216,2024-10-08 21:30:00,0.03,-0.01
217,217,2024-10-08 22:30:00,0.03,-0.01
218,218,2024-10-08 23:30:00,0.02,0.0
219,219,2024-10-09 00:30:00,0.02,0.0
220,220,2024-10-09 01:30:00,0.01,0.02
