N,itm,Date,t,s
1,1,2024-09-30 22:30:00,17.9,34.1
2,2,2024-09-30 23:30:00,17.9,34.1
3,3,2024-10-01 00:30:00,17.9,34.1
4,4,2024-10-01 01:30:00,17.9,34.1
5,5,2024-10-01 02:30:00,17.9,34.1
6,6,2024-10-01 03:30:00,17.9,34.1
7,7,2024-10-01 04:30:00,17.8,34.1
8,8,2024-10-01 05:30:00,17.8,34.1
9,9,2024-10-01 06:30:00,17.8,34.1
10,10,2024-10-01 07:30:00,17.8,34.1
11,11,2024-10-01 08:30:00,17.7,34.1
12,12,2024-10-01 09:30:00,17.7,34.1
13,13,2024-10-01 10:30:00,17.5,34.1
14,14,2024-10-01 11:30:00,17.4,34.1
15,15,2024-10-01 12:30:00,17.4,34.1
16,16,2024-10-01 13:30:00,17.4,34.1
17,17,2024-10-01 14:30:00,17.4,34.1
18,18,2024-10-01 15:30:00,17.5,34.1
19,19,2024-10-01 16:30:00,17.6,34.1
20,20,2024-10-01 17:30:00,17.7,34.1
21,21,2024-10-01 18:30:00,17.8,34.0
22,22,2024-10-01 19:30:00,17.8,34.0
23,23,2024-10-01 20:30:00,17.9,34.0
24,24,2024-10-01 21:30:00,17.9,34.0
25,25,2024-10-01 22:30:00,17.9,34.0
26,26,2024-10-01 23:30:00,17.8,34.0
27,27,2024-10-02 00:30:00,17.8,34.0
28,28,2024-10-02 01:30:00,17.7,34.0
29,29,2024-10-02 02:30:00,17.6,34.1
30,30,2024-10-02 03:30:00,17.4,34.1
31,31,2024-10-02 04:30:00,17.3,34.1
32,32,2024-10-02 05:30:00,17.2,34.1
33,33,2024-10-02 06:30:00,17.3,34.1
34,34,2024-10-02 07:30:00,17.3,34.1
35,35,2024-10-02 08:30:00,17.3,34.1
36,36,2024-10-02 09:30:00,17.4,34.1
37,37,2024-10-02 10:30:00,17.4,34.1
38,38,2024-10-02 11:30:00,17.4,34.1
39,39,2024-10-02 12:30:00,17.5,34.1
40,40,2024-10-02 13:30:00,17.6,34.0
41,41,2024-10-02 14:30:00,17.7,34.0
42,42,2024-10-02 15:30:00,17.7,34.0
43,43,2024-10-02 16:30:00,17.8,34.0
44,44,2024-10-02 17:30:00,17.8,34.0
45,45,2024-10-02 18:30:00,17.8,34.0
46,46,2024-10-02 19:30:00,17.8,34.0
47,47,2024-10-02 20:30:00,17.8,34.0
48,48,2024-10-02 21:30:00,17.8,34.0
49,49,2024-10-02 22:30:00,17.8,34.0
50,50,2024-10-02 23:30:00,17.8,34.0
51,51,2024-10-03 00:30:00,17.9,34.0
52,52,2024-10-03 01:30:00,17.9,34.0
53,53,2024-10-03 02:30:00,17.9,34.0
54,54,2024-10-03 03:30:00,17.9,34.0
55,55,2024-10-03 04:30:00,17.9,34.0
56,56,2024-10-03 05:30:00,17.9,34.0
57,57,2024-10-03 06:30:00,17.9,34.0
58,58,2024-10-03 07:30:00,17.9,34.0
59,59,2024-10-03 08:30:00,18.0,34.0
60,60,2024-10-03 09:30:00,18.0,34.0
61,61,2024-10-03 10:30:00,18.0,34.0
62,62,2024-10-03 11:30:00,18.0,34.0
63,63,2024-10-03 12:30:00,17.9,34.1
64,64,2024-10-03 13:30:00,17.8,34.1
65,65,2024-10-03 14:30:00,17.8,34.1
66,66,2024-10-03 15:30:00,17.7,34.1
67,67,2024-10-03 16:30:00,17.8,34.1
68,68,2024-10-03 17:30:00,17.8,34.1
69,69,2024-10-03 18:30:00,18.0,34.0
70,70,2024-10-03 19:30:00,18.1,34.0
71,71,2024-10-03 20:30:00,18.1,34.0
72,72,2024-10-03 21:30:00,18.1,34.0
73,73,2024-10-03 22:30:00,18.1,34.0
74,74,2024-10-03 23:30:00,18.1,34.0
75,75,2024-10-04 00:30:00,18.1,34.0
76,76,2024-10-04 01:30:00,18.1,34.0
77,77,2024-10-04 02:30:00,18.1,34.0
78,78,2024-10-04 03:30:00,18.1,34.0
79,79,2024-10-04 04:30:00,18.1,34.0
80,80,2024-10-04 05:30:00,18.0,34.1
81,81,2024-10-04 06:30:00,18.0,34.1
82,82,2024-10-04 07:30:00,18.0,34.0
83,83,2024-10-04 08:30:00,18.1,34.0
84,84,2024-10-04 09:30:00,18.1,34.0
85,85,2024-10-04 10:30:00,18.1,34.0
86,86,2024-10-04 11:30:00,18.1,34.0
87,87,2024-10-04 12:30:00,18.1,34.0
88,88,2024-10-04 13:30:00,18.1,34.0
89,89,2024-10-04 14:30:00,18.0,34.0
90,90,2024-10-04 15:30:00,18.0,34.0
91,91,2024-10-04 16:30:00,18.0,34.0
92,92,2024-10-04 17:30:00,18.0,34.0
93,93,2024-10-04 18:30:00,18.2,34.0
94,94,2024-10-04 19:30:00,18.2,34.0
95,95,2024-10-04 20:30:00,18.2,34.0
96,96,2024-10-04 21:30:00,18.2,34.0
97,97,2024-10-04 22:30:00,18.2,34.0
