N,itm,Date,u,v
1,1,2024-09-30 22:30:00,-0.05,0.27
2,2,2024-09-30 23:30:00,-0.05,0.28
3,3,2024-10-01 00:30:00,-0.05,0.27
4,4,2024-10-01 01:30:00,-0.05,0.28
5,5,2024-10-01 02:30:00,-0.05,0.27
6,6,2024-10-01 03:30:00,-0.05,0.27
7,7,2024-10-01 04:30:00,-0.05,0.28
8,8,2024-10-01 05:30:00,-0.05,0.29
9,9,2024-10-01 06:30:00,-0.05,0.29
10,10,2024-10-01 07:30:00,-0.05,0.29
11,11,2024-10-01 08:30:00,-0.04,0.28
12,12,2024-10-01 09:30:00,-0.04,0.27
13,13,2024-10-01 10:30:00,-0.04,0.27
14,14,2024-10-01 11:30:00,-0.04,0.26
15,15,2024-10-01 12:30:00,-0.04,0.25
16,16,2024-10-01 13:30:00,-0.04,0.24
17,17,2024-10-01 14:30:00,-0.05,0.24
18,18,2024-10-01 15:30:00,-0.05,0.23
19,19,2024-10-01 16:30:00,-0.06,0.23
20,20,2024-10-01 17:30:00,-0.07,0.23
21,21,2024-10-01 18:30:00,-0.07,0.23
22,22,2024-10-01 19:30:00,-0.08,0.23
23,23,2024-10-01 20:30:00,-0.08,0.24
24,24,2024-10-01 21:30:00,-0.07,0.24
25,25,2024-10-01 22:30:00,-0.07,0.25
26,26,2024-10-01 23:30:00,-0.06,0.26
27,27,2024-10-02 00:30:00,-0.05,0.27
28,28,2024-10-02 01:30:00,-0.03,0.28
29,29,2024-10-02 02:30:00,-0.02,0.29
30,30,2024-10-02 03:30:00,-0.02,0.3
31,31,2024-10-02 04:30:00,-0.02,0.3
32,32,2024-10-02 05:30:00,-0.03,0.31
33,33,2024-10-02 06:30:00,-0.04,0.3
34,34,2024-10-02 07:30:00,-0.04,0.29
35,35,2024-10-02 08:30:00,-0.05,0.28
36,36,2024-10-02 09:30:00,-0.06,0.26
37,37,2024-10-02 10:30:00,-0.06,0.24
38,38,2024-10-02 11:30:00,-0.06,0.23
39,39,2024-10-02 12:30:00,-0.05,0.21
40,40,2024-10-02 13:30:00,-0.05,0.2
41,41,2024-10-02 14:30:00,-0.06,0.2
42,42,2024-10-02 15:30:00,-0.06,0.19
43,43,2024-10-02 16:30:00,-0.06,0.19
44,44,2024-10-02 17:30:00,-0.06,0.2
45,45,2024-10-02 18:30:00,-0.05,0.21
46,46,2024-10-02 19:30:00,-0.05,0.22
47,47,2024-10-02 20:30:00,-0.04,0.22
48,48,2024-10-02 21:30:00,-0.04,0.22
49,49,2024-10-02 22:30:00,-0.03,0.22
50,50,2024-10-02 23:30:00,-0.02,0.2
51,51,2024-10-03 00:30:00,-0.02,0.19
52,52,2024-10-03 01:30:00,-0.03,0.17
53,53,2024-10-03 02:30:00,-0.04,0.16
54,54,2024-10-03 03:30:00,-0.05,0.15
55,55,2024-10-03 04:30:00,-0.06,0.16
56,56,2024-10-03 05:30:00,-0.07,0.17
57,57,2024-10-03 06:30:00,-0.07,0.18
58,58,2024-10-03 07:30:00,-0.07,0.2
59,59,2024-10-03 08:30:00,-0.06,0.21
60,60,2024-10-03 09:30:00,-0.05,0.21
61,61,2024-10-03 10:30:00,-0.03,0.21
62,62,2024-10-03 11:30:00,-0.02,0.21
63,63,2024-10-03 12:30:00,-0.01,0.2
64,64,2024-10-03 13:30:00,-0.01,0.19
65,65,2024-10-03 14:30:00,-0.01,0.19
66,66,2024-10-03 15:30:00,-0.01,0.17
67,67,2024-10-03 16:30:00,-0.02,0.17
68,68,2024-10-03 17:30:00,-0.03,0.16
69,69,2024-10-03 18:30:00,-0.04,0.16
70,70,2024-10-03 19:30:00,-0.05,0.15
71,71,2024-10-03 20:30:00,-0.06,0.16
72,72,2024-10-03 21:30:00,-0.06,0.16
73,73,2024-10-03 22:30:00,-0.05,0.15
74,74,2024-10-03 23:30:00,-0.04,0.15
75,75,2024-10-04 00:30:00,-0.03,0.15
76,76,2024-10-04 01:30:00,-0.03,0.14
77,77,2024-10-04 02:30:00,-0.03,0.14
78,78,2024-10-04 03:30:00,-0.02,0.14
79,79,2024-10-04 04:30:00,-0.02,0.14
80,80,2024-10-04 05:30:00,-0.03,0.14
81,81,2024-10-04 06:30:00,-0.04,0.15
82,82,2024-10-04 07:30:00,-0.04,0.16
83,83,2024-10-04 08:30:00,-0.04,0.16
84,84,2024-10-04 09:30:00,-0.03,0.16
85,85,2024-10-04 10:30:00,-0.03,0.16
86,86,2024-10-04 11:30:00,-0.03,0.14
87,87,2024-10-04 12:30:00,-0.02,0.13
88,88,2024-10-04 13:30:00,-0.02,0.11
89,89,2024-10-04 14:30:00,-0.02,0.09
90,90,2024-10-04 15:30:00,-0.02,0.08
91,91,2024-10-04 16:30:00,-0.02,0.08
