N,itm,Date,u,v
1,1,2024-09-30 22:30:00,0.29,-0.02
2,2,2024-09-30 23:30:00,0.29,-0.02
3,3,2024-10-01 00:30:00,0.29,-0.02
4,4,2024-10-01 01:30:00,0.27,-0.04
5,5,2024-10-01 02:30:00,0.27,-0.04
6,6,2024-10-01 03:30:00,0.26,-0.05
7,7,2024-10-01 04:30:00,0.25,-0.06
8,8,2024-10-01 05:30:00,0.23,-0.07
9,9,2024-10-01 06:30:00,0.21,-0.08
10,10,2024-10-01 07:30:00,0.21,-0.08
11,11,2024-10-01 08:30:00,0.21,-0.09
12,12,2024-10-01 09:30:00,0.19,-0.1
13,13,2024-10-01 10:30:00,0.17,-0.1
14,14,2024-10-01 11:30:00,0.15,-0.09
15,15,2024-10-01 12:30:00,0.13,-0.08
16,16,2024-10-01 13:30:00,0.12,-0.06
17,17,2024-10-01 14:30:00,0.11,-0.04
18,18,2024-10-01 15:30:00,0.1,-0.03
19,19,2024-10-01 16:30:00,0.12,0.0
20,20,2024-10-01 17:30:00,0.12,0.01
21,21,2024-10-01 18:30:00,0.14,0.03
22,22,2024-10-01 19:30:00,0.15,0.04
23,23,2024-10-01 20:30:00,0.17,0.04
24,24,2024-10-01 21:30:00,0.19,0.05
25,25,2024-10-01 22:30:00,0.19,0.04
26,26,2024-10-01 23:30:00,0.22,0.04
27,27,2024-10-02 00:30:00,0.22,0.02
28,28,2024-10-02 01:30:00,0.23,0.02
29,29,2024-10-02 02:30:00,0.24,0.01
30,30,2024-10-02 03:30:00,0.22,-0.05
31,31,2024-10-02 04:30:00,0.24,-0.06
32,32,2024-10-02 05:30:00,0.21,-0.09
33,33,2024-10-02 06:30:00,0.21,-0.1
34,34,2024-10-02 07:30:00,0.18,-0.11
35,35,2024-10-02 08:30:00,0.15,-0.12
36,36,2024-10-02 09:30:00,0.14,-0.11
37,37,2024-10-02 10:30:00,0.11,-0.09
38,38,2024-10-02 11:30:00,0.07,-0.1
39,39,2024-10-02 12:30:00,0.06,-0.09
40,40,2024-10-02 13:30:00,0.06,-0.07
41,41,2024-10-02 14:30:00,0.03,-0.08
42,42,2024-10-02 15:30:00,0.03,-0.06
43,43,2024-10-02 16:30:00,-0.0,-0.06
44,44,2024-10-02 17:30:00,-0.01,-0.04
45,45,2024-10-02 18:30:00,-0.01,-0.03
46,46,2024-10-02 19:30:00,-0.02,-0.02
47,47,2024-10-02 20:30:00,-0.01,-0.01
48,48,2024-10-02 21:30:00,-0.01,-0.01
49,49,2024-10-02 22:30:00,0.01,0.0
50,50,2024-10-02 23:30:00,0.04,0.01
51,51,2024-10-03 00:30:00,0.06,0.0
52,52,2024-10-03 01:30:00,0.08,-0.0
53,53,2024-10-03 02:30:00,0.09,-0.02
54,54,2024-10-03 03:30:00,0.14,-0.01
55,55,2024-10-03 04:30:00,0.13,-0.03
56,56,2024-10-03 05:30:00,0.14,-0.05
57,57,2024-10-03 06:30:00,0.14,-0.05
58,58,2024-10-03 07:30:00,0.14,-0.06
59,59,2024-10-03 08:30:00,0.15,-0.08
60,60,2024-10-03 09:30:00,0.15,-0.09
61,61,2024-10-03 10:30:00,0.15,-0.09
62,62,2024-10-03 11:30:00,0.12,-0.12
63,63,2024-10-03 12:30:00,0.14,-0.1
64,64,2024-10-03 13:30:00,0.11,-0.12
65,65,2024-10-03 14:30:00,0.1,-0.11
66,66,2024-10-03 15:30:00,0.09,-0.11
67,67,2024-10-03 16:30:00,0.08,-0.1
68,68,2024-10-03 17:30:00,0.07,-0.08
69,69,2024-10-03 18:30:00,0.05,-0.09
70,70,2024-10-03 19:30:00,0.06,-0.07
71,71,2024-10-03 20:30:00,0.03,-0.07
72,72,2024-10-03 21:30:00,0.04,-0.06
