N,itm,Date,t,s
1,1,2025-10-21 18:30:00,7.75,34.0
2,2,2025-10-21 19:30:00,7.76,34.0
3,3,2025-10-21 20:30:00,7.77,34.0
4,4,2025-10-21 21:30:00,7.78,34.0
5,5,2025-10-21 22:30:00,7.79,34.0
6,6,2025-10-21 23:30:00,7.8,34.0
7,7,2025-10-22 00:30:00,7.8,34.0
8,8,2025-10-22 01:30:00,7.81,34.0
9,9,2025-10-22 02:30:00,7.81,34.0
10,10,2025-10-22 03:30:00,7.81,34.0
11,11,2025-10-22 04:30:00,7.81,34.0
12,12,2025-10-22 05:30:00,7.81,34.0
13,13,2025-10-22 06:30:00,7.81,34.0
14,14,2025-10-22 07:30:00,7.81,34.0
15,15,2025-10-22 08:30:00,7.82,34.0
16,16,2025-10-22 09:30:00,7.82,34.0
17,17,2025-10-22 10:30:00,7.82,34.0
18,18,2025-10-22 11:30:00,7.83,34.0
19,19,2025-10-22 12:30:00,7.83,34.0
20,20,2025-10-22 13:30:00,7.83,34.0
21,21,2025-10-22 14:30:00,7.83,34.0
22,22,2025-10-22 15:30:00,7.84,34.0
23,23,2025-10-22 16:30:00,7.84,34.0
24,24,2025-10-22 17:30:00,7.84,34.0
25,25,2025-10-22 18:30:00,7.85,34.0
26,26,2025-10-22 19:30:00,7.86,34.0
27,27,2025-10-22 20:30:00,7.86,34.0
28,28,2025-10-22 21:30:00,7.87,34.0
29,29,2025-10-22 22:30:00,7.87,34.0
30,30,2025-10-22 23:30:00,7.87,34.0
31,31,2025-10-23 00:30:00,7.88,34.0
32,32,2025-10-23 01:30:00,7.89,34.0
33,33,2025-10-23 02:30:00,7.89,34.0
34,34,2025-10-23 03:30:00,7.9,34.0
35,35,2025-10-23 04:30:00,7.91,34.0
36,36,2025-10-23 05:30:00,7.91,34.0
37,37,2025-10-23 06:30:00,7.91,34.0
38,38,2025-10-23 07:30:00,7.91,34.0
39,39,2025-10-23 08:30:00,7.91,34.0
40,40,2025-10-23 09:30:00,7.92,34.0
41,41,2025-10-23 10:30:00,7.92,34.0
42,42,2025-10-23 11:30:00,7.92,34.0
43,43,2025-10-23 12:30:00,7.92,34.0
44,44,2025-10-23 13:30:00,7.92,34.0
45,45,2025-10-23 14:30:00,7.93,34.0
46,46,2025-10-23 15:30:00,7.93,34.0
47,47,2025-10-23 16:30:00,7.93,34.0
48,48,2025-10-23 17:30:00,7.94,34.0
49,49,2025-10-23 18:30:00,7.95,34.0
50,50,2025-10-23 19:30:00,7.95,34.0
51,51,2025-10-23 20:30:00,7.96,34.0
52,52,2025-10-23 21:30:00,7.97,34.0
53,53,2025-10-23 22:30:00,7.97,34.0
54,54,2025-10-23 23:30:00,7.98,34.0
55,55,2025-10-24 00:30:00,7.99,34.0
56,56,2025-10-24 01:30:00,7.99,34.0
57,57,2025-10-24 02:30:00,8.0,34.0
58,58,2025-10-24 03:30:00,8.01,34.0
59,59,2025-10-24 04:30:00,8.02,34.0
60,60,2025-10-24 05:30:00,8.02,34.0
61,61,2025-10-24 06:30:00,8.02,34.0
62,62,2025-10-24 07:30:00,8.01,34.0
63,63,2025-10-24 08:30:00,8.01,34.0
64,64,2025-10-24 09:30:00,7.99,34.0
65,65,2025-10-24 10:30:00,7.98,34.0
66,66,2025-10-24 11:30:00,7.97,34.0
67,67,2025-10-24 12:30:00,7.96,34.0
68,68,2025-10-24 13:30:00,7.96,34.0
69,69,2025-10-24 14:30:00,7.96,34.0
70,70,2025-10-24 15:30:00,7.96,34.0
71,71,2025-10-24 16:30:00,7.96,34.0
72,72,2025-10-24 17:30:00,7.96,34.0
73,73,2025-10-24 18:30:00,7.95,34.0
74,74,2025-10-24 19:30:00,7.95,34.0
75,75,2025-10-24 20:30:00,7.94,34.0
76,76,2025-10-24 21:30:00,7.93,34.0
77,77,2025-10-24 22:30:00,7.92,34.0
78,78,2025-10-24 23:30:00,7.91,34.0
79,79,2025-10-25 00:30:00,7.9,34.0
80,80,2025-10-25 01:30:00,7.89,34.0
81,81,2025-10-25 02:30:00,7.88,34.0
82,82,2025-10-25 03:30:00,7.87,34.0
83,83,2025-10-25 04:30:00,7.87,34.0
84,84,2025-10-25 05:30:00,7.87,34.0
85,85,2025-10-25 06:30:00,7.87,34.0
86,86,2025-10-25 07:30:00,7.87,34.0
87,87,2025-10-25 08:30:00,7.88,34.0
88,88,2025-10-25 09:30:00,7.88,34.0
89,89,2025-10-25 10:30:00,7.88,34.0
90,90,2025-10-25 11:30:00,7.88,34.0
91,91,2025-10-25 12:30:00,7.87,34.0
92,92,2025-10-25 13:30:00,7.87,34.0
93,93,2025-10-25 14:30:00,7.86,34.0
94,94,2025-10-25 15:30:00,7.86,34.0
95,95,2025-10-25 16:30:00,7.86,34.0
96,96,2025-10-25 17:30:00,7.86,34.0
97,97,2025-10-25 18:30:00,7.86,34.0
98,98,2025-10-25 19:30:00,7.86,34.0
99,99,2025-10-25 20:30:00,7.86,34.0
100,100,2025-10-25 21:30:00,7.86,34.0
101,101,2025-10-25 22:30:00,7.86,34.0
102,102,2025-10-25 23:30:00,7.86,34.0
103,103,2025-10-26 00:30:00,7.86,34.0
104,104,2025-10-26 01:30:00,7.86,34.0
105,105,2025-10-26 02:30:00,7.85,34.0
106,106,2025-10-26 03:30:00,7.85,34.0
107,107,2025-10-26 04:30:00,7.85,34.0
108,108,2025-10-26 05:30:00,7.86,34.0
109,109,2025-10-26 06:30:00,7.86,34.0
110,110,2025-10-26 07:30:00,7.86,34.0
111,111,2025-10-26 08:30:00,7.86,34.0
112,112,2025-10-26 09:30:00,7.86,34.0
113,113,2025-10-26 10:30:00,7.87,34.0
114,114,2025-10-26 11:30:00,7.87,34.0
115,115,2025-10-26 12:30:00,7.88,34.0
116,116,2025-10-26 13:30:00,7.88,34.0
117,117,2025-10-26 14:30:00,7.88,34.0
118,118,2025-10-26 15:30:00,7.88,34.0
119,119,2025-10-26 16:30:00,7.87,34.0
120,120,2025-10-26 17:30:00,7.87,34.0
121,121,2025-10-26 18:30:00,7.87,34.0
122,122,2025-10-26 19:30:00,7.88,34.0
123,123,2025-10-26 20:30:00,7.88,34.0
124,124,2025-10-26 21:30:00,7.89,34.0
125,125,2025-10-26 22:30:00,7.89,34.0
126,126,2025-10-26 23:30:00,7.89,34.0
127,127,2025-10-27 00:30:00,7.88,34.0
128,128,2025-10-27 01:30:00,7.87,34.0
129,129,2025-10-27 02:30:00,7.86,34.0
130,130,2025-10-27 03:30:00,7.85,34.0
131,131,2025-10-27 04:30:00,7.85,34.0
132,132,2025-10-27 05:30:00,7.84,34.0
133,133,2025-10-27 06:30:00,7.84,34.0
134,134,2025-10-27 07:30:00,7.83,34.0
135,135,2025-10-27 08:30:00,7.83,34.0
136,136,2025-10-27 09:30:00,7.83,34.0
137,137,2025-10-27 10:30:00,7.82,34.0
138,138,2025-10-27 11:30:00,7.82,34.0
139,139,2025-10-27 12:30:00,7.82,34.0
140,140,2025-10-27 13:30:00,7.82,34.0
141,141,2025-10-27 14:30:00,7.83,34.0
142,142,2025-10-27 15:30:00,7.83,34.0
143,143,2025-10-27 16:30:00,7.83,34.0
144,144,2025-10-27 17:30:00,7.83,34.0
145,145,2025-10-27 18:30:00,7.83,34.0
146,146,2025-10-27 19:30:00,7.83,34.0
147,147,2025-10-27 20:30:00,7.83,34.0
148,148,2025-10-27 21:30:00,7.83,34.0
149,149,2025-10-27 22:30:00,7.83,34.0
150,150,2025-10-27 23:30:00,7.83,34.0
151,151,2025-10-28 00:30:00,7.83,34.0
152,152,2025-10-28 01:30:00,7.83,34.0
153,153,2025-10-28 02:30:00,7.82,34.0
154,154,2025-10-28 03:30:00,7.82,34.0
155,155,2025-10-28 04:30:00,7.82,34.0
156,156,2025-10-28 05:30:00,7.82,34.0
157,157,2025-10-28 06:30:00,7.82,34.0
158,158,2025-10-28 07:30:00,7.82,34.0
159,159,2025-10-28 08:30:00,7.83,34.0
160,160,2025-10-28 09:30:00,7.83,34.0
161,161,2025-10-28 10:30:00,7.83,34.0
162,162,2025-10-28 11:30:00,7.83,34.0
163,163,2025-10-28 12:30:00,7.84,34.0
164,164,2025-10-28 13:30:00,7.84,34.0
165,165,2025-10-28 14:30:00,7.85,34.0
166,166,2025-10-28 15:30:00,7.86,34.0
167,167,2025-10-28 16:30:00,7.87,34.0
168,168,2025-10-28 17:30:00,7.88,34.0
169,169,2025-10-28 18:30:00,7.88,34.0
170,170,2025-10-28 19:30:00,7.88,34.0
171,171,2025-10-28 20:30:00,7.88,34.0
172,172,2025-10-28 21:30:00,7.89,34.0
173,173,2025-10-28 22:30:00,7.89,34.0
174,174,2025-10-28 23:30:00,7.89,34.0
175,175,2025-10-29 00:30:00,7.89,34.0
176,176,2025-10-29 01:30:00,7.88,34.0
177,177,2025-10-29 02:30:00,7.88,34.0
178,178,2025-10-29 03:30:00,7.88,34.0
179,179,2025-10-29 04:30:00,7.88,34.0
180,180,2025-10-29 05:30:00,7.88,34.0
181,181,2025-10-29 06:30:00,7.88,34.0
182,182,2025-10-29 07:30:00,7.88,34.0
183,183,2025-10-29 08:30:00,7.88,34.0
184,184,2025-10-29 09:30:00,7.9,34.0
185,185,2025-10-29 10:30:00,7.92,34.0
186,186,2025-10-29 11:30:00,7.97,34.0
187,187,2025-10-29 12:30:00,8.01,34.0
188,188,2025-10-29 13:30:00,8.06,34.0
189,189,2025-10-29 14:30:00,8.11,34.0
190,190,2025-10-29 15:30:00,8.14,34.0
191,191,2025-10-29 16:30:00,8.18,34.0
192,192,2025-10-29 17:30:00,8.2,34.0
193,193,2025-10-29 18:30:00,8.22,34.0
194,194,2025-10-29 19:30:00,8.24,34.0
195,195,2025-10-29 20:30:00,8.25,34.0
196,196,2025-10-29 21:30:00,8.25,34.0
197,197,2025-10-29 22:30:00,8.25,34.0
198,198,2025-10-29 23:30:00,8.25,34.0
