N,itm,Date,t,s
1,1,2025-10-21 18:30:00,14.71,33.9
2,2,2025-10-21 19:30:00,14.73,33.9
3,3,2025-10-21 20:30:00,14.77,33.9
4,4,2025-10-21 21:30:00,14.81,33.9
5,5,2025-10-21 22:30:00,14.89,33.9
6,6,2025-10-21 23:30:00,14.97,33.8
7,7,2025-10-22 00:30:00,15.03,33.8
8,8,2025-10-22 01:30:00,15.07,33.8
9,9,2025-10-22 02:30:00,15.09,33.8
10,10,2025-10-22 03:30:00,15.09,33.8
11,11,2025-10-22 04:30:00,15.08,33.8
12,12,2025-10-22 05:30:00,15.06,33.8
13,13,2025-10-22 06:30:00,15.01,33.8
14,14,2025-10-22 07:30:00,14.95,33.8
15,15,2025-10-22 08:30:00,14.88,33.8
16,16,2025-10-22 09:30:00,14.83,33.9
17,17,2025-10-22 10:30:00,14.8,33.9
18,18,2025-10-22 11:30:00,14.8,33.9
19,19,2025-10-22 12:30:00,14.82,33.9
20,20,2025-10-22 13:30:00,14.85,33.9
21,21,2025-10-22 14:30:00,14.89,33.8
22,22,2025-10-22 15:30:00,14.92,33.8
23,23,2025-10-22 16:30:00,14.94,33.8
24,24,2025-10-22 17:30:00,14.94,33.8
25,25,2025-10-22 18:30:00,14.94,33.8
26,26,2025-10-22 19:30:00,14.92,33.8
27,27,2025-10-22 20:30:00,14.89,33.8
28,28,2025-10-22 21:30:00,14.85,33.8
29,29,2025-10-22 22:30:00,14.81,33.9
30,30,2025-10-22 23:30:00,14.78,33.9
31,31,2025-10-23 00:30:00,14.77,33.9
32,32,2025-10-23 01:30:00,14.77,33.9
33,33,2025-10-23 02:30:00,14.78,33.9
34,34,2025-10-23 03:30:00,14.8,33.9
35,35,2025-10-23 04:30:00,14.83,33.9
36,36,2025-10-23 05:30:00,14.84,33.8
37,37,2025-10-23 06:30:00,14.85,33.8
38,38,2025-10-23 07:30:00,14.83,33.9
39,39,2025-10-23 08:30:00,14.79,33.9
40,40,2025-10-23 09:30:00,14.74,33.9
41,41,2025-10-23 10:30:00,14.7,33.9
42,42,2025-10-23 11:30:00,14.67,33.9
43,43,2025-10-23 12:30:00,14.66,33.9
44,44,2025-10-23 13:30:00,14.66,33.9
45,45,2025-10-23 14:30:00,14.67,33.9
46,46,2025-10-23 15:30:00,14.68,33.9
47,47,2025-10-23 16:30:00,14.69,33.9
48,48,2025-10-23 17:30:00,14.71,33.9
49,49,2025-10-23 18:30:00,14.71,33.9
50,50,2025-10-23 19:30:00,14.71,33.9
51,51,2025-10-23 20:30:00,14.69,33.9
52,52,2025-10-23 21:30:00,14.67,33.9
53,53,2025-10-23 22:30:00,14.66,33.9
54,54,2025-10-23 23:30:00,14.66,33.9
55,55,2025-10-24 00:30:00,14.69,33.9
56,56,2025-10-24 01:30:00,14.73,33.9
57,57,2025-10-24 02:30:00,14.77,33.9
58,58,2025-10-24 03:30:00,14.81,33.8
59,59,2025-10-24 04:30:00,14.82,33.8
60,60,2025-10-24 05:30:00,14.81,33.8
61,61,2025-10-24 06:30:00,14.78,33.8
62,62,2025-10-24 07:30:00,14.72,33.9
63,63,2025-10-24 08:30:00,14.67,33.9
64,64,2025-10-24 09:30:00,14.64,33.9
65,65,2025-10-24 10:30:00,14.61,33.9
66,66,2025-10-24 11:30:00,14.61,33.9
67,67,2025-10-24 12:30:00,14.62,33.9
68,68,2025-10-24 13:30:00,14.64,33.9
