日付,時化,流木等,濁り
2020/5/15,,,
2020/5/16,,,
2020/5/17,,,
2020/5/18,,,
2020/5/19,,,
2020/5/20,,,
2020/5/21,,,
2020/5/22,,,
2020/5/23,,,
2020/5/24,,,
2020/5/25,,,
2020/5/26,,,
2020/5/27,,,
2020/5/28,,,
2020/5/29,,,
2020/5/30,,,
2020/5/31,,,
2020/6/1,,,
2020/6/2,,,
2020/6/3,,,
2020/6/4,,,
2020/6/5,,,
2020/6/6,,,
2020/6/7,,,
2020/6/8,,,
2020/6/9,,,
2020/6/10,,,
2020/6/11,,,
2020/6/12,,,
2020/6/13,,,
2020/6/14,,,
2020/6/15,,,
2020/6/16,,,
2020/6/17,,,
2020/6/18,,,
2020/6/19,,,
2020/6/20,,,
2020/6/21,,,
2020/6/22,1,3,3
2020/6/23,,,
2020/6/24,,,
2020/6/25,,,
2020/6/26,,,
2020/6/27,,,
2020/6/28,,2,2
2020/6/29,,,
2020/6/30,,,
2020/7/1,,,
2020/7/2,,,
2020/7/3,,,
2020/7/4,,,
2020/7/5,,,
2020/7/6,,,
2020/7/7,,,
2020/7/8,,,
2020/7/9,,,
2020/7/10,,,
2020/7/11,,,
2020/7/12,,,
2020/7/13,,,
2020/7/14,,,
2020/7/15,1,2,
2020/7/16,,,
2020/7/17,,,2
2020/7/18,,,
2020/7/19,,2,1
2020/7/20,,,1
2020/7/21,,,
2020/7/22,,,
2020/7/23,,2,1
2020/7/24,,,
2020/7/25,,,
2020/7/26,,3,3
2020/7/27,,2,
2020/7/28,,2,
2020/7/29,,2,
2020/7/30,,2,
2020/7/31,,,
2020/8/1,,,
2020/8/2,,,
2020/8/3,,,
2020/8/4,,,
2020/8/5,,,
2020/8/6,,,
2020/8/7,,2,1
2020/8/8,,,
2020/8/9,,,1
2020/8/10,,,
2020/8/11,,,
2020/8/12,,,
2020/8/13,,,
2020/8/14,,1,
2020/8/15,,,
2020/8/16,,1,2
2020/8/17,,,
2020/8/18,,,
2020/8/19,,2,
2020/8/20,,,
2020/8/21,,,
2020/8/22,,,
2020/8/23,,,
2020/8/24,,,
2020/8/25,,,2
2020/8/26,,,
2020/8/27,,,
2020/8/28,,,
2020/8/29,,,
2020/8/30,1,,
2020/8/31,3,,3
2020/9/1,,,2
2020/9/2,,,2
2020/9/3,,,3
2020/9/4,,,3
2020/9/5,,,2
2020/9/6,,,
2020/9/7,,,
2020/9/8,,,
2020/9/9,,,
2020/9/10,,,
2020/9/11,,,
2020/9/12,,,
2020/9/13,,,3
2020/9/14,,,3
2020/9/15,,,2
2020/9/16,,,
2020/9/17,,,2
2020/9/18,,,
2020/9/19,,,
2020/9/20,,,2
2020/9/21,,,
2020/9/22,,,
2020/9/23,,,
2020/9/24,,,1
2020/9/25,1,,2
2020/9/26,3,,
2020/9/27,2,,2
2020/9/28,2,,2
2020/9/29,,,2
2020/9/30,,,
2020/10/1,,,
2020/10/2,,,
2020/10/3,,,
2020/10/4,,,
2020/10/5,,,
2020/10/6,,,
2020/10/7,,,
2020/10/8,,,
2020/10/9,,,
2020/10/10,,,
2020/10/11,,,
2020/10/12,,,2
2020/10/13,1,,3
2020/10/14,1,,1
2020/10/15,1,,1
2020/10/16,,,2
2020/10/17,,,
2020/10/18,,,
2020/10/19,,,
2020/10/20,,,
2020/10/21,,,2
2020/10/22,,,
2020/10/23,1,,
2020/10/24,,,
2020/10/25,,,
2020/10/26,,,
2020/10/27,,,
2020/10/28,,,
2020/10/29,,,
2020/10/30,,,
2020/10/31,,,
2020/11/1,,,1
2020/11/2,1,,2
2020/11/3,,,
2020/11/4,,,
2020/11/5,1,,
2020/11/6,,,
2020/11/7,,,
2020/11/8,,,
2020/11/9,,,
2020/11/10,,,
2020/11/11,,,
2020/11/12,,,
2020/11/13,,,
2020/11/14,,,
2020/11/15,,,
2020/11/16,,,
2020/11/17,,,
2020/11/18,,,
2020/11/19,1,,2
2020/11/20,,,
2020/11/21,,,
2020/11/22,,,
2020/11/23,,,
2020/11/24,,,
2020/11/25,,,
2020/11/26,,,
2020/11/27,,,
2020/11/28,,,
2020/11/29,,,
2020/11/30,,,
2020/12/1,,,
2020/12/2,,,
2020/12/3,,,
2020/12/4,,,
2020/12/5,,,
2020/12/6,,,
2020/12/7,,,
2020/12/8,,,2
2020/12/9,,,
2020/12/10,,,
2020/12/11,,,
2020/12/12,,,
2020/12/13,,,
