Date,Depth,CorrTemp,CorrLow,CorrHigh
2024-03-15 09:30:00,5,3.01,1.84,4.18
2024-03-15 09:30:00,10,3.02,1.81,4.23
2024-03-15 09:30:00,15,3.16,1.84,4.48
2024-03-15 09:30:00,20,3.22,1.77,4.67
2024-03-15 10:30:00,5,2.84,1.67,4.01
2024-03-15 10:30:00,10,2.84,1.63,4.05
2024-03-15 10:30:00,15,3.05,1.73,4.37
2024-03-15 10:30:00,20,3.16,1.71,4.61
2024-03-15 11:30:00,5,2.77,1.6,3.94
2024-03-15 11:30:00,10,2.77,1.56,3.98
2024-03-15 11:30:00,15,2.99,1.67,4.31
2024-03-15 11:30:00,20,3.14,1.69,4.59
2024-03-15 12:30:00,5,2.86,1.69,4.03
2024-03-15 12:30:00,10,2.86,1.65,4.07
2024-03-15 12:30:00,15,2.98,1.66,4.3
2024-03-15 12:30:00,20,3.13,1.68,4.58
2024-03-15 13:30:00,5,3.06,1.89,4.23
2024-03-15 13:30:00,10,3.06,1.85,4.27
2024-03-15 13:30:00,15,3.07,1.75,4.39
2024-03-15 13:30:00,20,3.11,1.66,4.56
2024-03-15 14:30:00,5,3.24,2.07,4.41
2024-03-15 14:30:00,10,3.23,2.02,4.44
2024-03-15 14:30:00,15,3.23,1.91,4.55
2024-03-15 14:30:00,20,3.22,1.77,4.67
2024-03-15 15:30:00,5,3.36,2.19,4.53
2024-03-15 15:30:00,10,3.36,2.15,4.57
2024-03-15 15:30:00,15,3.35,2.03,4.67
2024-03-15 15:30:00,20,3.35,1.9,4.8
2024-03-15 16:30:00,5,3.5,2.33,4.67
2024-03-15 16:30:00,10,3.5,2.29,4.71
2024-03-15 16:30:00,15,3.5,2.18,4.82
2024-03-15 16:30:00,20,3.5,2.05,4.95
2024-03-15 17:30:00,5,3.6,2.43,4.77
2024-03-15 17:30:00,10,3.6,2.39,4.81
2024-03-15 17:30:00,15,3.6,2.28,4.92
2024-03-15 17:30:00,20,3.6,2.15,5.05
2024-03-15 18:30:00,5,3.66,2.49,4.83
2024-03-15 18:30:00,10,3.66,2.45,4.87
2024-03-15 18:30:00,15,3.66,2.34,4.98
2024-03-15 18:30:00,20,3.66,2.21,5.11
2024-03-15 19:30:00,5,3.68,2.51,4.85
