Date,Depth,CorrTemp,CorrLow,CorrHigh
2024-05-18 08:30:00,5,10.35,8.29,12.4
2024-05-18 08:30:00,10,10.64,9.27,12.01
2024-05-18 08:30:00,15,9.24,7.87,10.61
2024-05-18 08:30:00,20,7.15,5.38,8.91
2024-05-18 08:30:00,30,5.57,3.87,7.27
2024-05-18 09:30:00,5,10.38,8.33,12.43
2024-05-18 09:30:00,10,10.69,9.32,12.06
2024-05-18 09:30:00,15,9.26,7.89,10.63
2024-05-18 09:30:00,20,7.17,5.4,8.93
2024-05-18 09:30:00,30,5.57,3.86,7.27
2024-05-18 10:30:00,5,10.42,8.36,12.47
2024-05-18 10:30:00,10,10.71,9.34,12.08
2024-05-18 10:30:00,15,9.34,7.97,10.71
2024-05-18 10:30:00,20,7.36,5.59,9.13
2024-05-18 10:30:00,30,5.51,3.8,7.21
2024-05-18 11:30:00,5,10.46,8.4,12.51
2024-05-18 11:30:00,10,10.73,9.36,12.1
2024-05-18 11:30:00,15,9.4,8.03,10.77
2024-05-18 11:30:00,20,7.53,5.76,9.3
2024-05-18 11:30:00,30,5.49,3.79,7.19
2024-05-18 12:30:00,5,10.57,8.51,12.62
2024-05-18 12:30:00,10,10.71,9.34,12.08
2024-05-18 12:30:00,15,9.42,8.05,10.79
2024-05-18 12:30:00,20,7.62,5.86,9.39
2024-05-18 12:30:00,30,5.5,3.79,7.2
2024-05-18 13:30:00,5,10.65,8.6,12.71
2024-05-18 13:30:00,10,10.67,9.3,12.04
2024-05-18 13:30:00,15,9.43,8.06,10.8
2024-05-18 13:30:00,20,7.69,5.92,9.45
2024-05-18 13:30:00,30,5.52,3.82,7.22
2024-05-18 14:30:00,5,10.63,8.58,12.69
2024-05-18 14:30:00,10,10.65,9.28,12.02
2024-05-18 14:30:00,15,9.24,7.87,10.61
2024-05-18 14:30:00,20,7.3,5.53,9.06
2024-05-18 14:30:00,30,5.49,3.78,7.19
2024-05-18 15:30:00,5,10.58,8.53,12.64
2024-05-18 15:30:00,10,10.65,9.28,12.01
2024-05-18 15:30:00,15,9.36,7.99,10.73
2024-05-18 15:30:00,20,7.48,5.71,9.25
2024-05-18 15:30:00,30,5.42,3.71,7.12
2024-05-18 16:30:00,5,10.55,8.49,12.6
2024-05-18 16:30:00,10,10.64,9.27,12.01
2024-05-18 16:30:00,15,9.42,8.05,10.79
2024-05-18 16:30:00,20,7.48,5.71,9.25
2024-05-18 16:30:00,30,5.39,3.68,7.09
2024-05-18 17:30:00,5,10.53,8.48,12.59
2024-05-18 17:30:00,10,10.72,9.35,12.09
2024-05-18 17:30:00,15,9.51,8.14,10.88
2024-05-18 17:30:00,20,7.44,5.67,9.21
2024-05-18 17:30:00,30,5.34,3.63,7.04
2024-05-18 18:30:00,5,10.35,8.3,12.41
