Date,Depth,CorrTemp,CorrLow,CorrHigh
2024-05-18 08:30:00,5,9.72,7.63,11.81
2024-05-18 08:30:00,10,10.85,9.46,12.25
2024-05-18 08:30:00,15,9.24,7.85,10.63
2024-05-18 08:30:00,20,7.69,6.29,9.08
2024-05-18 08:30:00,30,6.22,4.71,7.74
2024-05-18 08:30:00,40,4.93,3.41,6.44
2024-05-18 08:30:00,50,4.04,2.66,5.42
2024-05-18 09:30:00,5,9.79,7.69,11.88
2024-05-18 09:30:00,10,10.83,9.43,12.22
2024-05-18 09:30:00,15,9.22,7.83,10.62
2024-05-18 09:30:00,20,7.69,6.29,9.08
2024-05-18 09:30:00,30,6.21,4.7,7.73
2024-05-18 09:30:00,40,4.94,3.42,6.45
2024-05-18 09:30:00,50,4.06,2.68,5.44
2024-05-18 10:30:00,5,9.8,7.71,11.89
2024-05-18 10:30:00,10,10.54,9.15,11.94
2024-05-18 10:30:00,15,9.08,7.69,10.47
2024-05-18 10:30:00,20,7.7,6.3,9.09
2024-05-18 10:30:00,30,6.48,4.97,7.99
2024-05-18 10:30:00,40,5.11,3.6,6.63
2024-05-18 10:30:00,50,4.14,2.76,5.52
2024-05-18 11:30:00,5,9.92,7.83,12.01
2024-05-18 11:30:00,10,10.56,9.17,11.95
2024-05-18 11:30:00,15,9.11,7.71,10.5
2024-05-18 11:30:00,20,7.71,6.31,9.1
2024-05-18 11:30:00,30,6.47,4.96,7.99
2024-05-18 11:30:00,40,5.09,3.58,6.6
2024-05-18 11:30:00,50,4.11,2.73,5.49
2024-05-18 12:30:00,5,9.96,7.87,12.05
2024-05-18 12:30:00,10,10.49,9.1,11.89
2024-05-18 12:30:00,15,9.08,7.69,10.48
2024-05-18 12:30:00,20,7.69,6.29,9.08
2024-05-18 12:30:00,30,6.43,4.92,7.94
2024-05-18 12:30:00,40,5.08,3.57,6.59
2024-05-18 12:30:00,50,4.13,2.75,5.51
2024-05-18 13:30:00,5,10.05,7.96,12.14
2024-05-18 13:30:00,10,10.49,9.1,11.88
2024-05-18 13:30:00,15,9.11,7.72,10.51
2024-05-18 13:30:00,20,7.72,6.33,9.11
2024-05-18 13:30:00,30,6.47,4.95,7.98
2024-05-18 13:30:00,40,5.1,3.58,6.61
2024-05-18 13:30:00,50,4.14,2.76,5.52
2024-05-18 14:30:00,5,10.14,8.04,12.23
2024-05-18 14:30:00,10,10.49,9.09,11.88
2024-05-18 14:30:00,15,9.05,7.66,10.45
