Date,Area,GSI,Sex
2024/3/16,sample1,22,M
2024/3/16,sample1,27,M
2024/3/16,sample1,24,M
2024/3/16,sample1,23,M
2024/3/16,sample1,24,M
2024/3/16,sample1,31,M
2024/3/16,sample1,27,M
2024/3/16,sample1,25,M
2024/3/16,sample1,18,M
2024/3/16,sample1,26,M
2024/3/16,sample1,25,M
2024/3/16,sample1,26,M
2024/3/16,sample1,19,M
2024/3/16,sample1,24,M
2024/3/16,sample1,25,M
2024/3/16,sample1,27,M
2024/3/16,sample1,20,M
2024/3/16,sample1,29,M
2024/3/16,sample1,28,M
2024/3/16,sample1,36,F
2024/3/16,sample1,25,F
2024/3/16,sample1,17,F
2024/3/16,sample1,20,F
2024/3/16,sample1,21,F
2024/3/16,sample1,16,F
2024/3/16,sample1,21,F
2024/3/16,sample1,22,F
2024/3/16,sample1,16,F
2024/3/16,sample1,16,F
2024/3/16,sample1,23,F
2024/3/23,sample1,24,M
2024/3/23,sample1,22,M
2024/3/23,sample1,29,M
2024/3/23,sample1,17,M
2024/3/23,sample1,24,M
2024/3/23,sample1,21,M
2024/3/23,sample1,25,M
2024/3/23,sample1,18,M
2024/3/23,sample1,18,M
2024/3/23,sample1,16,M
2024/3/23,sample1,20,M
2024/3/23,sample1,25,M
2024/3/23,sample1,23,M
2024/3/23,sample1,22,F
2024/3/23,sample1,21,F
2024/3/23,sample1,19,F
2024/3/23,sample1,27,F
2024/3/23,sample1,21,F
2024/3/23,sample1,16,F
2024/3/23,sample1,22,F
2024/3/23,sample1,21,F
2024/3/23,sample1,24,F
2024/3/23,sample1,23,F
2024/3/23,sample1,22,F
2024/3/23,sample1,15,F
2024/3/23,sample1,23,F
2024/3/23,sample1,17,F
2024/3/23,sample1,15,F
2024/3/23,sample1,13,F
2024/3/23,sample1,21,F
2024/3/29,sample1,30,M
2024/3/29,sample1,24,M
2024/3/29,sample1,27,M
2024/3/29,sample1,32,M
2024/3/29,sample1,22,M
2024/3/29,sample1,24,M
2024/3/29,sample1,26,M
2024/3/29,sample1,21,M
2024/3/29,sample1,19,M
2024/3/29,sample1,25,M
2024/3/29,sample1,28,M
2024/3/29,sample1,24,M
2024/3/29,sample1,27,M
2024/3/29,sample1,19,F
2024/3/29,sample1,19,F
2024/3/29,sample1,22,F
2024/3/29,sample1,19,F
2024/3/29,sample1,31,F
2024/3/29,sample1,24,F
2024/3/29,sample1,19,F
2024/3/29,sample1,19,F
2024/3/29,sample1,23,F
2024/3/29,sample1,19,F
2024/3/29,sample1,18,F
2024/3/29,sample1,18,F
2024/3/29,sample1,22,F
2024/3/29,sample1,19,F
2024/3/29,sample1,25,F
2024/3/29,sample1,25,F
2024/3/29,sample1,18,F
2024/4/12,sample1,25,M
2024/4/12,sample1,28,M
2024/4/12,sample1,18,M
2024/4/12,sample1,23,M
2024/4/12,sample1,28,M
2024/4/12,sample1,26,M
2024/4/12,sample1,27,M
2024/4/12,sample1,21,M
2024/4/12,sample1,25,M
2024/4/12,sample1,24,M
2024/4/12,sample1,26,M
2024/4/12,sample1,28,M
2024/4/12,sample1,29,M
2024/4/12,sample1,29,M
2024/4/12,sample1,22,M
2024/4/12,sample1,25,M
2024/4/12,sample1,20,M
2024/4/12,sample1,22,M
2024/4/12,sample1,29,M
2024/4/12,sample1,23,F
2024/4/12,sample1,19,F
2024/4/12,sample1,19,F
2024/4/12,sample1,26,F
2024/4/12,sample1,23,F
2024/4/12,sample1,18,F
2024/4/12,sample1,21,F
2024/4/12,sample1,25,F
2024/4/12,sample1,20,F
2024/4/12,sample1,17,F
2024/4/12,sample1,22,F
2024/4/18,sample1,25,M
2024/4/18,sample1,25,M
2024/4/18,sample1,22,M
2024/4/18,sample1,22,M
2024/4/18,sample1,22,M
2024/4/18,sample1,18,M
2024/4/18,sample1,23,M
2024/4/18,sample1,23,M
2024/4/18,sample1,21,M
2024/4/18,sample1,27,M
2024/4/18,sample1,12,F
