Date,Depth,Temp,Salinity
2024/4/2 4:00,5,4.24,33.02
2024/4/2 4:00,10,4.24,33.06
2024/4/2 4:00,15,4.24,33.08
2024/4/2 4:00,20,4.25,33.09
2024/4/2 4:00,30,4.25,33.09
2024/4/2 4:00,40,4.25,33.1
2024/4/2 4:00,50,4.25,33.1
2024/4/5 4:00,5,4.66,33.04
2024/4/5 4:00,10,4.66,33.06
2024/4/5 4:00,15,4.66,33.09
2024/4/5 4:00,20,4.66,33.09
2024/4/5 4:00,30,4.66,33.11
2024/4/5 4:00,40,4.67,33.12
2024/4/10 4:00,5,4.81,33.01
2024/4/10 4:00,10,4.79,33.09
2024/4/10 4:00,15,4.73,33.19
2024/4/10 4:00,20,4.72,33.22
2024/4/10 4:00,30,4.71,33.21
2024/4/10 4:00,40,4.71,33.22
2024/4/13 4:00,5,5.5,33.12
2024/4/13 4:00,10,5.33,33.37
2024/4/13 4:00,15,5.12,33.48
2024/4/13 4:00,20,4.96,33.52
2024/4/13 4:00,30,4.91,33.54
2024/4/13 4:00,40,4.91,33.55
2024/4/16 4:00,5,5.48,32.76
2024/4/16 4:00,10,5.44,32.85
2024/4/16 4:00,15,5.44,32.86
2024/4/16 4:00,20,5.43,32.89
2024/4/16 4:00,30,5.43,32.9
2024/4/16 4:00,40,5.43,32.92
2024/4/20 4:00,5,4.47,33.44
2024/4/20 4:00,10,4.46,33.46
2024/4/20 4:00,15,4.45,33.48
2024/4/20 4:00,20,4.45,33.48
2024/4/20 4:00,30,4.46,33.49
2024/4/20 4:00,40,4.45,33.5
2024/4/20 4:00,50,4.45,33.5
2024/4/23 4:00,5,5.07,33.66
2024/4/23 4:00,10,5.07,33.66
2024/4/23 4:00,15,4.76,33.79
2024/4/23 4:00,20,4.65,33.86
2024/4/23 4:00,30,4.66,33.87
2024/4/23 4:00,40,4.66,33.87
2024/4/26 4:00,5,5.88,33.4
2024/4/26 4:00,10,5.56,33.5
2024/4/26 4:00,15,5.14,33.7
2024/4/26 4:00,20,5.25,33.75
2024/4/26 4:00,30,5.29,33.76
2024/4/26 4:00,40,5.28,33.76
2024/4/26 4:00,50,5.28,33.76
2024/4/30 4:00,5,7.14,32.27
2024/4/30 4:00,10,6.68,32.71
2024/4/30 4:00,15,6.51,32.87
2024/4/30 4:00,20,6.33,32.95
2024/4/30 4:00,30,5.99,33.04
2024/4/30 4:00,40,5.96,33.06
2024/5/11 4:00,5,6.53,33.26
2024/5/11 4:00,10,6.46,33.31
2024/5/11 4:00,15,6.26,33.36
2024/5/11 4:00,20,6.12,33.41
2024/5/11 4:00,30,5.66,33.51
2024/5/11 4:00,40,5.48,33.53
2024/5/14 3:00,5,7.33,33.51
2024/5/14 3:00,10,6.97,33.63
2024/5/14 3:00,15,6.92,33.65
2024/5/14 3:00,20,6.9,33.66
2024/5/14 3:00,30,6.86,33.67
2024/5/14 3:00,40,6.78,33.7
2024/5/14 3:00,50,6.76,33.71
2024/5/21 3:00,5,9.38,32.94
2024/5/21 3:00,10,8.67,33.23
2024/5/21 3:00,15,8.14,33.43
