Date,Depth,Temp,Salinity
2024-05-25 04:00:00,5,9.72,33.34
2024-05-25 04:00:00,10,9.64,33.39
2024-05-25 04:00:00,15,9.08,33.58
2024-05-25 04:00:00,20,9.05,33.59
2024-05-27 04:00:00,5,9.27,33.64
2024-05-27 04:00:00,10,9.01,33.71
2024-05-27 04:00:00,15,8.94,33.72
2024-05-27 04:00:00,20,8.93,33.72
2024-05-29 04:00:00,5,9.57,33.46
2024-05-29 04:00:00,10,9.57,33.47
2024-05-29 04:00:00,15,9.58,33.48
2024-05-29 04:00:00,20,9.57,33.48
2024-05-30 04:00:00,5,9.63,33.43
2024-05-30 04:00:00,10,9.64,33.45
2024-05-30 04:00:00,15,9.63,33.47
2024-05-30 04:00:00,20,9.62,33.47
2024-05-31 04:00:00,5,9.77,33.51
2024-05-31 04:00:00,10,9.77,33.52
2024-05-31 04:00:00,15,9.77,33.52
2024-05-31 04:00:00,20,9.75,33.52
2024-06-01 04:00:00,5,10.29,33.53
2024-06-01 04:00:00,10,10.30,33.53
2024-06-01 04:00:00,15,10.31,33.53
2024-06-01 04:00:00,20,10.31,33.53
2024-06-03 04:00:00,5,11.11,33.47
2024-06-03 04:00:00,10,10.02,33.65
2024-06-03 04:00:00,15,10.01,33.65
2024-06-03 04:00:00,20,10.00,33.65
2024-06-04 10:00:00,5,11.05,33.58
2024-06-04 10:00:00,10,11.01,33.64
2024-06-04 10:00:00,15,10.99,33.64
2024-06-04 10:00:00,20,10.97,33.64
2024-06-06 04:00:00,5,10.26,33.74
2024-06-06 04:00:00,10,9.77,33.80
2024-06-06 04:00:00,15,9.60,33.82
2024-06-06 04:00:00,20,9.57,33.82
2024-06-07 08:00:00,5,10.20,33.77
2024-06-07 08:00:00,10,9.88,33.81
2024-06-07 08:00:00,15,9.87,33.82
2024-06-07 08:00:00,20,9.87,33.82
2024-06-08 04:00:00,5,10.50,33.83
2024-06-08 04:00:00,10,10.28,33.86
2024-06-08 04:00:00,15,10.10,33.88
2024-06-08 04:00:00,20,10.06,33.87
2024-06-10 04:00:00,5,11.71,33.78
2024-06-10 04:00:00,10,11.51,33.79
2024-06-10 04:00:00,15,11.12,33.82
2024-06-10 04:00:00,20,10.91,33.85
2024-06-10 04:00:00,30,10.70,33.86
2024-06-10 05:00:00,5,10.35,33.88
2024-06-10 05:00:00,10,10.19,33.89
2024-06-10 05:00:00,15,10.18,33.89
2024-06-10 05:00:00,20,10.12,33.89
2024-06-10 05:00:00,30,10.01,33.91
2024-06-10 05:00:00,40,9.47,33.94
2024-06-10 05:00:00,50,9.37,33.94
2024-06-11 04:00:00,5,11.45,33.70
2024-06-11 04:00:00,10,11.17,33.74
2024-06-11 04:00:00,15,11.03,33.77
2024-06-11 04:00:00,20,10.98,33.78
2024-06-12 04:00:00,5,13.04,33.55
2024-06-12 04:00:00,10,12.65,33.64
2024-06-12 04:00:00,15,12.29,33.71
2024-06-12 04:00:00,20,12.13,33.75
2024-06-13 04:00:00,5,12.21,33.69
2024-06-13 04:00:00,10,12.21,33.72
2024-06-13 04:00:00,15,12.21,33.73
2024-06-13 04:00:00,20,12.21,33.73
2024-06-14 04:00:00,5,13.55,33.59
2024-06-14 04:00:00,10,13.55,33.60
2024-06-14 04:00:00,15,13.56,33.60
2024-06-14 04:00:00,20,13.56,33.60
2024-06-15 04:00:00,5,13.35,33.61
2024-06-15 04:00:00,10,13.35,33.66
2024-06-15 04:00:00,15,13.27,33.67
2024-06-15 04:00:00,20,13.04,33.69
2024-06-16 04:00:00,5,13.24,33.65
2024-06-16 04:00:00,10,12.81,33.73
2024-06-16 04:00:00,15,12.54,33.75
2024-06-16 04:00:00,20,12.53,33.75
2024-06-17 04:00:00,5,13.65,33.69
2024-06-17 04:00:00,10,13.11,33.76
2024-06-17 04:00:00,15,13.09,33.77
2024-06-17 04:00:00,20,13.08,33.77
2024-06-26 04:00:00,5,10.71,33.81
2024-06-26 04:00:00,10,10.41,33.83
2024-06-26 04:00:00,15,9.68,33.88
2024-06-26 04:00:00,20,9.36,33.90
2024-06-28 04:00:00,5,13.01,33.78
2024-06-28 04:00:00,10,12.74,33.80
2024-06-28 04:00:00,15,12.57,33.81
2024-06-28 04:00:00,20,12.44,33.80
2024-06-29 04:00:00,5,13.66,33.72
2024-06-29 04:00:00,10,13.37,33.76
2024-06-29 04:00:00,15,13.29,33.77
2024-06-29 04:00:00,20,13.28,33.77
2024-07-03 04:00:00,5,15.06,33.61
2024-07-03 04:00:00,10,15.00,33.67
2024-07-03 04:00:00,15,14.21,33.74
2024-07-03 04:00:00,20,13.10,33.80
2024-07-04 09:00:00,5,14.02,33.81
2024-07-04 09:00:00,10,13.63,33.84
2024-07-04 09:00:00,15,13.41,33.85
2024-07-04 09:00:00,20,13.34,33.86
2024-07-05 04:00:00,5,15.84,33.74
2024-07-05 04:00:00,10,15.50,33.75
2024-07-05 04:00:00,15,15.12,33.75
2024-07-05 04:00:00,20,14.95,33.76
2024-07-06 04:00:00,5,15.93,33.76
2024-07-06 04:00:00,10,15.72,33.76
2024-07-06 04:00:00,15,15.28,33.79
2024-07-06 04:00:00,20,15.16,33.79
2024-07-08 04:00:00,5,16.68,33.67
2024-07-08 04:00:00,10,16.33,33.70
2024-07-08 04:00:00,15,15.71,33.74
2024-07-08 04:00:00,20,15.26,33.75
2024-07-09 04:00:00,5,16.10,33.69
2024-07-09 04:00:00,10,15.74,33.74
2024-07-09 04:00:00,15,15.50,33.76
2024-07-09 04:00:00,20,15.10,33.79
2024-07-10 04:00:00,5,16.62,33.59
2024-07-10 04:00:00,10,16.50,33.68
2024-07-10 04:00:00,15,16.29,33.71
2024-07-10 04:00:00,20,15.91,33.74
2024-07-10 05:00:00,5,15.43,33.77
2024-07-10 05:00:00,10,15.29,33.77
2024-07-10 05:00:00,15,15.15,33.79
2024-07-10 05:00:00,20,15.07,33.80
2024-07-10 05:00:00,30,14.88,33.80
2024-07-10 05:00:00,40,14.46,33.83
2024-07-10 05:00:00,50,14.01,33.84
2024-07-11 04:00:00,5,16.42,33.65
2024-07-11 04:00:00,10,15.99,33.70
2024-07-11 04:00:00,15,15.58,33.73
2024-07-11 04:00:00,20,15.32,33.76
2024-07-12 04:00:00,5,16.33,33.73
2024-07-12 04:00:00,10,16.25,33.74
2024-07-12 04:00:00,15,16.19,33.75
2024-07-12 04:00:00,20,16.18,33.75
2024-07-13 06:00:00,5,16.88,33.49
2024-07-13 06:00:00,10,16.78,33.59
2024-07-13 06:00:00,15,16.73,33.60
2024-07-13 06:00:00,20,16.70,33.61
2024-07-14 04:00:00,5,17.24,33.72
2024-07-14 04:00:00,10,17.25,33.74
2024-07-14 04:00:00,15,17.27,33.74
2024-07-14 04:00:00,20,17.27,33.75
2024-07-16 04:00:00,5,17.33,33.78
2024-07-16 04:00:00,10,17.06,33.78
2024-07-16 04:00:00,15,17.03,33.79
2024-07-16 04:00:00,20,17.01,33.78
2024-07-18 04:00:00,5,16.69,33.82
2024-07-18 04:00:00,10,16.63,33.83
2024-07-18 04:00:00,15,16.55,33.82
2024-07-18 04:00:00,20,16.43,33.82
2024-07-19 04:00:00,5,17.84,33.66
2024-07-19 04:00:00,10,15.85,33.81
2024-07-19 04:00:00,15,15.31,33.87
2024-07-19 04:00:00,20,15.28,33.87
2024-07-20 05:00:00,5,17.50,33.75
2024-07-20 05:00:00,10,16.55,33.79
2024-07-20 05:00:00,15,15.41,33.86
2024-07-20 05:00:00,20,15.29,33.85
2024-07-23 04:00:00,5,18.87,33.80
2024-07-23 04:00:00,10,18.74,33.80
2024-07-23 04:00:00,15,18.44,33.79
2024-07-23 04:00:00,20,18.41,33.79
2024-07-24 04:00:00,5,19.57,33.73
2024-07-24 04:00:00,10,19.54,33.72
2024-07-24 04:00:00,15,19.50,33.72
2024-07-24 04:00:00,20,19.45,33.72
2024-07-27 04:00:00,5,17.21,33.92
2024-07-27 04:00:00,10,17.16,33.92
2024-07-27 04:00:00,15,17.15,33.92
2024-07-27 04:00:00,20,17.16,33.92
2024-07-29 04:00:00,5,19.05,33.86
2024-07-29 04:00:00,10,18.60,33.90
2024-07-29 04:00:00,15,18.56,33.89
2024-07-29 04:00:00,20,18.55,33.89
2024-07-31 04:00:00,5,18.85,33.91
2024-07-31 04:00:00,10,18.21,33.98
2024-07-31 04:00:00,15,17.58,33.98
2024-07-31 04:00:00,20,17.56,33.97
2024-08-01 04:00:00,5,18.27,33.94
2024-08-01 04:00:00,10,17.05,33.97
2024-08-01 04:00:00,15,16.59,33.97
2024-08-01 04:00:00,20,16.58,33.97
2024-08-02 04:00:00,5,17.72,33.94
2024-08-02 04:00:00,10,16.84,34.01
2024-08-02 04:00:00,15,16.09,33.99
2024-08-02 04:00:00,20,16.03,33.99
2024-08-06 10:00:00,5,18.16,33.69
2024-08-06 10:00:00,10,18.02,33.78
2024-08-06 10:00:00,15,17.84,33.78
2024-08-06 10:00:00,20,17.70,33.78
2024-08-07 04:00:00,5,18.48,33.79
2024-08-07 04:00:00,10,18.43,33.81
2024-08-07 04:00:00,15,17.84,33.85
2024-08-07 04:00:00,20,17.58,33.85
2024-08-08 08:00:00,5,19.87,33.77
2024-08-08 08:00:00,10,19.57,33.76
2024-08-08 08:00:00,15,19.26,33.77
2024-08-08 08:00:00,20,18.98,33.80
2024-08-19 04:00:00,5,18.91,33.87
2024-08-19 04:00:00,10,18.62,33.86
2024-08-19 04:00:00,15,18.27,33.88
2024-08-19 04:00:00,20,17.31,33.91
2024-08-20 04:00:00,5,18.60,33.81
2024-08-20 04:00:00,10,18.53,33.81
2024-08-20 04:00:00,15,18.30,33.83
2024-08-20 04:00:00,20,17.89,33.84
2024-08-21 04:00:00,5,19.49,33.81
2024-08-21 04:00:00,10,18.76,33.84
2024-08-21 04:00:00,15,18.01,33.90
2024-08-21 04:00:00,20,17.26,33.93
2024-08-22 04:00:00,5,19.90,33.77
2024-08-22 04:00:00,10,18.72,33.84
2024-08-22 04:00:00,15,18.23,33.86
2024-08-22 04:00:00,20,17.75,33.88
2024-08-23 06:00:00,5,19.26,33.82
2024-08-23 06:00:00,10,18.51,33.87
2024-08-23 06:00:00,15,18.41,33.88
2024-08-23 06:00:00,20,18.40,33.87
2024-08-24 04:00:00,5,18.55,33.80
2024-08-24 04:00:00,10,18.41,33.80
2024-08-24 04:00:00,15,18.21,33.81
2024-08-24 04:00:00,20,18.16,33.81
2024-08-26 04:00:00,5,20.38,33.85
2024-08-26 04:00:00,10,20.38,33.92
2024-08-26 04:00:00,15,20.35,33.94
2024-08-26 04:00:00,20,20.34,33.95
2024-08-28 05:00:00,5,19.60,33.73
2024-08-28 05:00:00,10,19.36,33.84
2024-08-28 05:00:00,15,19.23,33.90
2024-08-28 05:00:00,20,18.85,33.90
2024-08-29 04:00:00,5,20.12,33.77
2024-08-29 04:00:00,10,20.06,33.82
2024-08-29 04:00:00,15,20.03,33.82
2024-08-29 04:00:00,20,20.01,33.82
2024-08-30 04:00:00,5,20.27,33.81
2024-08-30 04:00:00,10,20.27,33.90
2024-08-30 04:00:00,15,20.27,33.90
2024-08-30 04:00:00,20,20.27,33.89
2024-08-31 04:00:00,5,20.39,33.90
2024-08-31 04:00:00,10,20.22,33.92
2024-08-31 04:00:00,15,20.20,33.92
2024-08-31 04:00:00,20,20.20,33.92
2024-09-02 05:00:00,5,20.96,33.42
2024-09-02 05:00:00,10,20.94,33.47
2024-09-02 05:00:00,15,20.97,33.52
2024-09-02 05:00:00,20,20.89,33.56
2024-09-03 05:00:00,5,22.17,32.83
2024-09-03 05:00:00,10,22.18,33.19
2024-09-03 05:00:00,15,22.17,33.19
2024-09-03 05:00:00,20,22.17,33.19
2024-09-03 09:00:00,5,22.40,33.18
2024-09-03 09:00:00,10,22.31,33.22
2024-09-03 09:00:00,15,22.29,33.24
2024-09-03 09:00:00,20,22.20,33.36
2024-09-04 05:00:00,5,22.17,32.90
2024-09-04 05:00:00,10,22.14,33.17
2024-09-04 05:00:00,15,21.99,33.41
2024-09-04 05:00:00,20,21.84,33.49
2024-09-05 05:00:00,5,21.93,33.46
2024-09-05 05:00:00,10,21.57,33.68
2024-09-05 05:00:00,15,21.50,33.71
2024-09-05 05:00:00,20,21.44,33.73
2024-09-09 05:00:00,5,22.05,33.73
2024-09-09 05:00:00,10,22.06,33.72
2024-09-09 05:00:00,15,22.07,33.73
2024-09-09 05:00:00,20,22.07,33.72
2024-09-10 04:00:00,5,21.84,33.35
2024-09-10 04:00:00,10,21.86,33.44
2024-09-10 04:00:00,15,21.87,33.44
2024-09-10 05:00:00,5,22.02,33.56
2024-09-10 05:00:00,10,21.99,33.69
2024-09-10 05:00:00,15,21.91,33.71
2024-09-10 05:00:00,20,21.88,33.71
2024-09-10 05:00:00,30,21.66,33.77
2024-09-10 06:00:00,5,21.99,33.62
2024-09-10 06:00:00,10,21.67,33.70
2024-09-10 06:00:00,15,21.25,33.80
2024-09-10 06:00:00,20,20.88,33.85
2024-09-10 06:00:00,30,20.31,33.89
2024-09-10 06:00:00,40,15.51,34.03
2024-09-10 06:00:00,50,13.47,34.13
2024-09-12 05:00:00,5,22.25,33.57
2024-09-12 05:00:00,10,22.27,33.62
2024-09-12 05:00:00,15,22.28,33.65
2024-09-12 05:00:00,20,22.29,33.65
2024-09-13 05:00:00,5,22.09,33.60
2024-09-13 05:00:00,10,21.99,33.64
2024-09-13 05:00:00,15,21.12,33.79
2024-09-13 05:00:00,20,20.67,33.81
2024-09-14 06:00:00,5,20.94,33.55
2024-09-14 06:00:00,10,20.95,33.58
2024-09-14 06:00:00,15,20.94,33.58
2024-09-14 06:00:00,20,20.88,33.63
2024-09-18 05:00:00,5,20.35,33.79
2024-09-18 05:00:00,10,20.35,33.81
2024-09-18 05:00:00,15,20.35,33.81
2024-09-18 05:00:00,20,20.31,33.81
2024-09-24 05:00:00,5,17.15,33.93
2024-09-24 05:00:00,10,17.16,33.96
2024-09-24 05:00:00,15,17.15,33.96
2024-09-24 05:00:00,20,17.15,33.96
2024-09-25 05:00:00,5,17.53,34.02
2024-09-25 05:00:00,10,17.51,34.02
2024-09-25 05:00:00,15,17.51,34.03
2024-09-25 05:00:00,20,17.51,34.02
2024-09-26 05:00:00,5,17.84,34.00
2024-09-26 05:00:00,10,17.82,34.00
2024-09-26 05:00:00,15,17.81,34.00
2024-09-26 05:00:00,20,17.80,33.99
2024-09-27 05:00:00,5,17.97,33.99
2024-09-27 05:00:00,10,17.96,33.99
2024-09-27 05:00:00,15,17.92,33.99
2024-09-27 05:00:00,20,17.76,33.98
2024-09-30 10:00:00,5,18.88,33.96
2024-09-30 10:00:00,10,18.86,33.96
2024-09-30 10:00:00,15,18.85,33.96
2024-09-30 10:00:00,20,18.82,33.96
2024-10-01 07:00:00,5,19.04,33.93
2024-10-01 07:00:00,10,18.90,33.93
2024-10-01 07:00:00,15,18.62,33.95
2024-10-01 07:00:00,20,18.37,33.94
2024-10-02 07:00:00,5,19.21,33.94
2024-10-02 07:00:00,10,19.20,33.94
2024-10-02 07:00:00,15,19.09,33.95
2024-10-02 07:00:00,20,18.97,33.95
2024-10-02 08:00:00,5,19.25,33.92
2024-10-02 08:00:00,10,19.24,33.94
2024-10-02 08:00:00,15,19.10,33.95
2024-10-02 08:00:00,20,18.89,33.95
2024-10-03 05:00:00,5,19.67,33.80
2024-10-03 05:00:00,10,19.70,33.86
