Date,Depth,Temp,Salinity
2024/3/1 0:00,10,3.96,33.39
2024/3/1 0:00,30,4.4,33.51
2024/3/1 0:00,50,4.36,
2024/3/1 1:00,10,3.95,33.38
2024/3/1 1:00,30,4.42,33.51
2024/3/1 1:00,50,4.36,
2024/3/1 2:00,10,3.94,33.38
2024/3/1 2:00,30,4.43,33.51
2024/3/1 2:00,50,4.37,
2024/3/1 3:00,10,3.96,33.38
2024/3/1 3:00,30,4.44,33.51
2024/3/1 3:00,50,4.36,
2024/3/1 4:00,10,3.94,33.39
2024/3/1 4:00,30,4.43,33.51
2024/3/1 4:00,50,4.36,
2024/3/1 5:00,10,3.95,33.39
2024/3/1 5:00,30,4.41,33.51
2024/3/1 5:00,50,4.36,
2024/3/1 6:00,10,3.97,33.4
2024/3/1 6:00,30,4.42,33.51
2024/3/1 6:00,50,4.37,
2024/3/1 7:00,10,4.0,33.41
2024/3/1 7:00,30,4.4,33.51
2024/3/1 7:00,50,4.37,
2024/3/1 8:00,10,4.03,33.42
2024/3/1 8:00,30,4.36,33.51
2024/3/1 8:00,50,4.36,
2024/3/1 9:00,10,4.08,33.44
2024/3/1 9:00,30,4.19,33.48
2024/3/1 9:00,50,4.36,
2024/3/1 10:00,10,4.12,33.46
2024/3/1 10:00,30,4.15,33.47
2024/3/1 10:00,50,4.36,
2024/3/1 11:00,10,4.18,33.47
2024/3/1 11:00,30,4.25,33.49
2024/3/1 11:00,50,4.36,
2024/3/1 12:00,10,4.22,33.48
2024/3/1 12:00,30,4.24,33.49
2024/3/1 12:00,50,4.36,
2024/3/1 13:00,10,4.2,33.48
2024/3/1 13:00,30,4.2,33.49
2024/3/1 13:00,50,4.32,
2024/3/1 14:00,10,4.21,33.49
2024/3/1 14:00,30,4.22,33.49
2024/3/1 14:00,50,4.24,
2024/3/1 15:00,10,4.21,33.49
2024/3/1 15:00,30,4.22,33.49
2024/3/1 15:00,50,4.21,
2024/3/1 16:00,10,4.18,33.48
2024/3/1 16:00,30,4.17,33.49
2024/3/1 16:00,50,4.23,
2024/3/1 17:00,10,4.17,33.48
2024/3/1 17:00,30,4.2,33.49
2024/3/1 17:00,50,4.19,
2024/3/1 18:00,10,4.18,33.49
2024/3/1 18:00,30,4.18,33.49
2024/3/1 18:00,50,4.18,
2024/3/1 19:00,10,4.18,33.48
2024/3/1 19:00,30,4.18,33.49
2024/3/1 19:00,50,4.18,
2024/3/1 20:00,10,4.17,33.47
2024/3/1 20:00,30,4.19,33.49
2024/3/1 20:00,50,4.19,
2024/3/1 21:00,10,4.11,33.44
2024/3/1 21:00,30,4.18,33.49
2024/3/1 21:00,50,4.19,
2024/3/1 22:00,10,4.11,33.44
2024/3/1 22:00,30,4.18,33.49
2024/3/1 22:00,50,4.2,
2024/3/1 23:00,10,4.12,33.44
2024/3/1 23:00,30,4.18,33.49
2024/3/1 23:00,50,4.22,
2024/3/2 0:00,10,4.11,33.44
2024/3/2 0:00,30,4.16,33.48
2024/3/2 0:00,50,4.24,
2024/3/2 1:00,10,4.11,33.44
2024/3/2 1:00,30,4.18,33.49
2024/3/2 1:00,50,4.24,
2024/3/2 2:00,10,4.11,33.44
2024/3/2 2:00,30,4.16,33.49
2024/3/2 2:00,50,4.22,
2024/3/2 3:00,10,4.1,33.44
2024/3/2 3:00,30,4.14,33.48
2024/3/2 3:00,50,4.2,
2024/3/2 4:00,10,4.1,33.44
2024/3/2 4:00,30,4.14,33.48
2024/3/2 4:00,50,4.19,
2024/3/2 5:00,10,4.1,33.44
2024/3/2 5:00,30,4.13,33.47
2024/3/2 5:00,50,4.15,
2024/3/2 6:00,10,4.1,33.44
2024/3/2 6:00,30,4.13,33.48
2024/3/2 6:00,50,4.15,
2024/3/2 7:00,10,4.08,33.44
2024/3/2 7:00,30,4.12,33.46
2024/3/2 7:00,50,4.14,
2024/3/2 8:00,10,4.08,33.44
2024/3/2 8:00,30,4.11,33.45
2024/3/2 8:00,50,4.15,
2024/3/2 9:00,10,4.09,33.44
2024/3/2 9:00,30,4.12,33.47
2024/3/2 9:00,50,4.15,
2024/3/2 10:00,10,4.09,33.44
2024/3/2 10:00,30,4.12,33.47
